district,state,kmeans_cluster,dbscan_cluster,bio__age_5_ratio,bio__age_17_ratio,bio__dependency_ratio,bio__bio_total_7day_std,bio__district_rank_in_state,bio__daily_pct_change,demo__demo_age_5_ratio,demo__demo_age_17_ratio,demo__demo_dependency_ratio,demo__demo_total_7day_std,demo__district_rank_in_state,demo__daily_pct_change,enrol__enrol_minor_ratio,enrol__enrol_adult_ratio,enrol__enrol_total_7day_std,enrol__district_rank_in_state,enrol__daily_pct_change
Nicobars,Andaman and Nicobar Islands,0,0,0.36933594551459265,0.498937816306453,0.7003445031408323,28.904587747020702,3.0,-3.0854125943599655,0.047619047619047616,0.5825396825396825,0.07142857142857142,15.494537433060609,3.0,1.2390670553935865,0.7083333333333333,0.0,0.0,3.0,0.0
North And Middle Andaman,Andaman and Nicobar Islands,0,0,0.4577847333131965,0.4658911506586322,1.130888522464916,36.966438854922636,2.0,-1.327526055133257,0.010695187165775402,0.6996434937611409,0.011764705882352941,12.881645539542387,2.0,-12.449548280001476,0.5555555555555555,0.0,0.0,2.0,0.0
South Andamans,Andaman and Nicobar Islands,0,0,0.43922360225162066,0.4320605649281552,1.3578496579850672,28.456614651328014,1.0,32.24987891765824,0.0324561403508772,0.5975563909774437,0.04824561403508772,29.24941630925409,1.0,10.41096213429089,0.5128205128205128,0.0,0.05439282932204212,1.0,7.6923076923076925
Adilabad,Andhra Pradesh,0,0,0.23993070118752766,0.6945042678571933,0.37036058308125763,36.51977965199139,16.0,-0.628654522800601,0.07177715007039018,0.7474266552466373,0.10067191937272914,29.769647068468487,21.0,-2.810432762038088,0.57421875,0.0,0.3175475241230769,18.0,1.5624999999999993
Hyderabad,Andhra Pradesh,0,0,0.2182832498979792,0.7307040558663482,0.3097878902361061,35.006607810834126,14.0,-8.389605561325526,0.10190808025264853,0.6990799477220271,0.16340159991175318,33.29917487421662,15.0,-16.262394181418255,0.6480324074074074,0.0,0.8747403387877478,12.0,-11.924603174603176
K V Rangareddy,Andhra Pradesh,0,0,0.17075952764358562,0.4132447665056361,0.391025641025641,2.01660710101948,37.0,-6.9218798630563345,0.07575757575757575,0.5075757575757576,0.13636363636363635,0.22918043572667565,37.0,15.909090909090908,0.5,0.0,0.0,37.0,0.0
Karimnagar,Andhra Pradesh,0,0,0.215221374865302,0.5947078970364437,0.35414673525337664,11.549474778052257,22.0,9.317233106989287,0.05636536796536798,0.6046089466089465,0.09426666666666664,4.932936011696758,34.0,23.973194983625557,0.5539215686274509,0.0,0.050936147616676114,30.0,-2.9411764705882355
Khammam,Andhra Pradesh,0,0,0.3230617089001652,0.5984370672893488,0.5855881321997722,19.88939877104184,18.0,1.1116441084790871,0.11514821421787849,0.7205378431241914,0.15347965490747364,30.29005054979454,19.0,17.270690683813953,0.5666666666666668,0.0,0.17019342237612026,22.0,3.125
Mahabubnagar,Andhra Pradesh,0,0,0.10360288777559296,0.6755501807392886,0.16102654305126723,13.15693855718654,20.0,39.42449265145131,0.0260231571260983,0.6973434337372676,0.035943562610229275,7.980069454078947,25.0,37.454825814299575,0.5869543650793653,0.0,0.2630086254215073,15.0,8.645833333333334
Medak,Andhra Pradesh,0,0,0.2156753963363071,0.6337515858436238,0.3410269617282583,13.179447778091548,21.0,8.522094966247549,0.0655030785061745,0.6340012112070933,0.09130559985823145,8.542758263524362,32.0,1.4859614282018092,0.5583333333333332,0.0,0.32249142170370526,19.0,0.8333333333333327
N. T. R,Andhra Pradesh,0,0,0.4315724960706227,0.450631818433316,0.9463977066693975,15.20042260518506,24.0,9.82430602648827,0.07397205068624291,0.7473136031545126,0.09956669335332585,53.52320316624892,14.0,-11.2929537828425,0.5606060606060606,0.0,0.0,27.0,0.0
