step,district,enrol_total,bio_total,bio_age5_ratio,enrol_minor_ratio,enrol_adult_ratio,bio_dependency,enrol_growth_pct
+1,Adilabad,0.0034,0.0052,0.0058,0.0042,0.0058,0.0013,0.0007
+1,Agra,0.0065,0.0129,0.0104,0.012,0.0225,0.0161,0.0077
+1,Ahmadabad,0.0118,0.0178,0.0177,0.0192,0.0197,0.0092,0.0018
+1,Ahmadnagar,0.0095,0.0224,0.0125,0.0069,0.0245,0.0015,0.0007
+1,Aizawl,-0.0001,-0.0017,-0.0017,0.0001,0.0001,0.0002,0.0005
+1,Ajmer,0.0034,0.0034,0.0032,0.0039,0.0053,0.0006,0.0001
+1,Akola,0.0033,0.0108,0.0098,0.0012,0.0049,0.0007,0.0011
+1,Alappuzha,0.0056,0.004,0.0059,0.0003,0.003,0.0017,0.0005
+1,Aligarh,0.0051,-0.0001,0.0027,0.0051,0.0107,0.0078,-0.0008
+1,Alirajpur,0.0009,-0.0002,-0.0012,0.0014,0.0006,0.0011,0.0032
+1,Almora,0.0016,0.0014,0.0013,0.001,0.0015,0.0005,0.0003
+1,Alwar,0.0093,0.0051,0.0071,0.0115,0.0065,0.0042,-0.0001
+1,Ambala,0.0011,0.0028,0.002,0.0011,0.0028,0.0007,0.0005
+1,Ambedkar Nagar,0.0035,0.0023,0.0025,0.0038,0.0076,0.0038,0.0007
+1,Amravati,0.005,0.014,0.0096,0.0028,0.0075,-0.0014,0.0001
+1,Amreli,0.0012,0.0032,0.0023,0.0016,0.0024,0.0006,0.0007
+1,Amritsar,0.0022,0.0049,0.0074,0.0027,0.0048,0.0005,0.0004
+1,Anand,0.0023,0.003,0.006,0.0037,0.003,0.0004,0.004
+1,Anantnag,0.0081,0.0029,0.0061,0.003,0.0001,0.0008,-0.001
+1,Anjaw,-0.0001,-0.0027,-0.0013,-0.0002,0.0003,-0.0004,0.0003
+1,Anugul,0.0015,0.0015,0.0029,0.0024,0.003,0.001,0.0007
+1,Anuppur,0.0011,0.0014,0.0028,0.0012,0.0015,0.0005,0.0005
+1,Araria,0.0023,0.0026,0.0021,0.0038,0.0092,0.0066,-0.001
+1,Ariyalur,0.0031,0.0044,0.0027,0.0033,0.0022,0.0002,0.0008
+1,Arwal,0.0022,0.0004,0.0018,0.0015,0.0014,0.003,0.0019
+1,Ashoknagar,0.0099,0.0138,0.0168,0.0053,0.0052,0.0021,-0.0004
+1,Auraiya,0.0025,0.003,0.0038,0.0026,0.004,0.0029,0.0009
+1,Aurangabad,-0.0005,-0.0004,-0.0002,0.0049,0.0051,0.01,-0.0
+1,Azamgarh,0.004,0.0002,0.0012,0.0081,0.0146,0.0135,0.0004
+1,Bagalkot,0.0046,0.0045,0.0042,0.0047,0.0026,0.0004,0.0006
+1,Bageshwar,0.0003,-0.0001,0.0002,0.0006,0.0011,0.0005,0.0003
+1,Baghpat,0.0014,0.0019,0.0032,0.0018,0.0037,0.0023,0.0006
+1,Bahraich,0.0081,0.0024,0.0026,0.0063,0.0143,0.0119,0.001
+1,Baksa,0.0004,-0.0008,-0.0001,0.0007,0.0012,0.0006,0.0008
+1,Balaghat,0.0046,0.003,0.0057,0.0021,0.0019,-0.0001,0.0007
+1,Balangir,0.0021,0.0031,0.0053,0.0031,0.0032,0.0011,0.0011
+1,Baleshwar,0.0046,0.0022,0.0056,0.0042,0.0033,0.0021,0.0
+1,Ballia,0.0045,0.0003,0.0015,0.0059,0.0076,0.0075,-0.0001
+1,Balrampur,0.0157,0.0088,0.0157,0.0101,0.0233,0.0128,0.0013
+1,Banas Kantha,0.0085,0.0101,0.0142,0.0039,0.0041,0.0026,0.0014
+1,Banda,0.0014,0.0041,0.0055,0.0022,0.0047,0.0026,0.0012
+1,Banka,-0.0012,-0.0028,-0.0002,0.0019,0.0045,0.0069,-0.0006
+1,Bankura,0.003,0.0008,0.0033,0.0031,0.0082,0.0028,0.0003
+1,Banswara,0.0027,0.0026,0.0045,0.0035,0.0045,0.0017,0.001
+1,Bara Banki,0.005,0.0067,0.0053,0.004,0.0089,0.0032,0.0008
+1,Baramula,0.0027,0.001,0.0029,0.0017,0.0032,0.001,0.0001
+1,Baran,0.0046,0.0032,0.0062,0.0032,0.0029,0.0006,0.0006
+1,Barddhaman,0.0079,0.0102,0.0076,0.0066,0.0214,0.0058,0.0009
+1,Bareilly,0.0055,0.0061,0.0024,0.0076,0.0194,0.0085,0.0009
+1,Bargarh,0.0018,0.0021,0.0042,0.0028,0.0032,0.0017,0.001
+1,Barmer,0.0101,0.0068,0.0091,0.0043,0.0013,0.0009,0.0005
+1,Barnala,0.0004,-0.0,-0.0002,0.0008,0.0013,0.0005,0.0002
+1,Barpeta,0.0019,0.0018,0.0052,0.0009,0.0043,0.0028,0.0007
+1,Barwani,0.0037,0.0079,0.0087,0.0043,0.0048,0.0027,0.0006
+1,Bastar,0.0049,0.0022,0.0048,0.004,0.003,0.0009,-0.0001
+1,Basti,0.0038,0.0005,0.0039,0.0032,0.0062,0.0042,-0.0004
+1,Bathinda,0.0008,0.0011,0.0025,0.001,0.0022,0.0004,0.0006
+1,Begusarai,0.0012,0.0005,0.0004,0.0069,0.0073,0.0094,-0.001
+1,Betul,0.006,0.0068,0.0119,0.0043,0.0037,0.002,-0.001
+1,Bhadrak,0.0027,0.0023,0.0044,0.0034,0.0032,0.0016,0.0007
+1,Bhagalpur,0.0016,-0.0016,0.0015,0.0051,0.0075,0.0101,-0.0008
+1,Bhandara,0.0016,0.0046,0.0037,0.0011,0.0028,0.0007,0.0007
+1,Bharatpur,0.0034,-0.0008,0.0009,0.0051,0.0045,0.0047,-0.0011
+1,Bharuch,0.0027,0.0016,0.0032,0.0025,0.0024,0.0,0.0007
+1,Bhavnagar,0.0039,0.0057,0.0096,0.0031,0.0046,0.0012,0.0003
+1,Bhilwara,0.0043,0.0019,0.0045,0.0051,0.0035,0.0006,0.0002
+1,Bhind,0.0043,0.0041,0.0069,0.0031,0.0033,0.0032,0.0007
+1,Bhiwani,0.0019,0.0039,0.0031,0.0011,0.0028,0.0006,0.0007
+1,Bhojpur,-0.0014,-0.0005,0.0015,0.0045,0.0061,0.0125,0.0009
+1,Bhopal,0.0086,0.0091,0.0128,0.0024,0.0046,0.0003,0.0006
+1,Bidar,0.0037,0.0022,0.0031,0.002,0.0024,0.0001,0.0007
+1,Bijapur,0.0026,0.0002,0.0039,0.0016,0.0004,0.0,0.0027
