district,lisa_type,lisa_p,enrol_total,bio_total
Adilabad,LL,0.0321,0.0,51505.0
Agra,HH,0.0,13525.0,274982.0
Ahmadabad,HH,0.0,7853.0,240719.0
Ahmadnagar,NS,0.3166,464.0,140635.0
Aizawl,NS,0.0641,0.0,12711.0
Ajmer,NS,0.6794,2171.0,61222.0
Akola,NS,0.0601,637.0,78926.0
Alappuzha,LL,0.01,0.0,48832.0
Aligarh,HH,0.0,13636.0,102404.0
Alirajpur,NS,0.2265,2908.0,39125.0
Almora,NS,0.3607,0.0,12913.0
Alwar,HH,0.008,5511.0,97606.0
Ambala,NS,0.4349,281.0,39001.0
Ambedkar Nagar,NS,0.1683,312.0,38662.0
Amravati,NS,0.6293,1052.0,150603.0
Amreli,NS,0.1503,1007.0,39969.0
Amritsar,NS,0.1303,3913.0,82629.0
Anand,NS,0.8236,1722.0,66614.0
Anantnag,LL,0.0441,0.0,20339.0
Anjaw,LL,0.0421,0.0,558.0
Anugul,LL,0.02,0.0,31176.0
Anuppur,NS,0.0721,0.0,45513.0
Araria,NS,0.7876,1964.0,78007.0
Ariyalur,LL,0.008,0.0,38538.0
Arwal,NS,0.4569,714.0,14880.0
Ashoknagar,HH,0.006,5756.0,163662.0
Auraiya,NS,0.9679,0.0,32528.0
Aurangabad,LL,0.0361,0.0,47728.0
Azamgarh,HH,0.01,4608.0,80336.0
Bagalkot,LL,0.012,0.0,39697.0
Bageshwar,NS,0.3226,0.0,10214.0
Baghpat,NS,0.7595,1210.0,26318.0
Bahraich,HH,0.0,21998.0,75697.0
Baksa,NS,0.6132,1432.0,7604.0
Balaghat,NS,0.0982,338.0,68136.0
Balangir,LL,0.0421,0.0,49904.0
Baleshwar,NS,0.0681,0.0,57664.0
Ballia,NS,0.1643,0.0,64668.0
Balrampur,HH,0.0,15043.0,100105.0
Banas Kantha,HH,0.0,18610.0,78385.0
Banda,HH,0.0481,4397.0,40707.0
Banka,NS,0.988,1403.0,51785.0
Bankura,NS,0.1603,0.0,51862.0
Banswara,NS,0.0882,0.0,38575.0
Bara Banki,NS,0.5832,2038.0,79385.0
Baramula,NS,0.0701,187.0,28614.0
Baran,NS,0.517,901.0,30360.0
Barddhaman,NS,0.0641,0.0,99881.0
Bareilly,HH,0.0,11780.0,114885.0
Bargarh,LL,0.0421,0.0,36379.0
Barmer,NS,0.7856,953.0,90540.0
Barnala,NS,0.1082,0.0,17500.0
Barpeta,HH,0.0461,5966.0,34930.0
Barwani,HH,0.0,13446.0,92329.0
Bastar,LL,0.02,0.0,44177.0
Basti,NS,0.2265,2824.0,51985.0
Bathinda,NS,0.2224,0.0,46310.0
Begusarai,NS,0.4309,762.0,73706.0
Betul,NS,0.487,1191.0,90169.0
Bhadrak,LL,0.0481,639.0,7323.0
Bhagalpur,HH,0.004,8593.0,72650.0
Bhandara,LL,0.022,0.0,42439.0
Bharatpur,NS,0.4569,2285.0,64927.0
Bharuch,NS,0.0721,606.0,41220.0
Bhavnagar,NS,0.5431,3011.0,82999.0
Bhilwara,NS,0.9579,1398.0,44206.0
Bhind,HH,0.002,6947.0,46612.0
Bhiwani,NS,0.4589,0.0,50520.0
Bhojpur,NS,0.4689,823.0,46690.0
Bhopal,NS,0.7054,2349.0,104632.0
Bidar,LL,0.016,169.0,37423.0
Bijapur,HL,0.02,3291.0,13050.0
Bijnor,NS,0.9339,1822.0,111115.0
Bikaner,NS,0.2665,3972.0,57844.0
Bilaspur,NS,0.7916,1476.0,102642.0
Birbhum,NS,0.8958,1268.0,49988.0
Bishnupur,NS,0.0701,185.0,13602.0
Bokaro,NS,0.1543,0.0,60339.0
Bongaigaon,NS,0.3126,899.0,14267.0
Budaun,HH,0.018,5122.0,48717.0
Bulandshahr,NS,0.0581,3029.0,92295.0
Buldana,NS,0.978,1830.0,96111.0
Bundi,NS,0.4088,688.0,27814.0
Burhanpur,NS,0.0621,6487.0,46875.0
Buxar,NS,0.4549,0.0,28935.0
Cachar,HH,0.006,9561.0,32082.0
Central,NS,0.988,1812.0,31973.0
Chamba,NS,0.0701,0.0,13942.0
Chamoli,NS,0.2886,0.0,12162.0
Champawat,NS,0.4429,0.0,9177.0
Champhai,NS,0.1042,678.0,6179.0
Chamrajnagar,LL,0.008,0.0,36933.0
Chandauli,NS,0.2886,2919.0,43385.0
Chandel,LL,0.0421,0.0,3611.0
Chandigarh,NS,0.6333,117.0,52264.0
Chandrapur,NS,0.0782,856.0,89717.0
Changlang,LL,0.0301,0.0,3018.0
Chatra,NS,0.503,975.0,31252.0
Chennai,LL,0.0381,400.0,101963.0
Chhatarpur,HH,0.008,5887.0,94734.0
Chhindwara,NS,0.0762,0.0,77909.0
Chikkaballapura,LL,0.002,0.0,20881.0
Chikmagalur,LL,0.016,0.0,19816.0
Chirang,NS,0.9659,1876.0,11125.0
Chitradurga,LL,0.002,0.0,31687.0
Chitrakoot,NS,0.2525,0.0,29453.0
Chittaurgarh,NS,0.9719,1576.0,28899.0
Chittoor,LL,0.02,0.0,130549.0
Churachandpur,NS,0.2385,2861.0,8302.0
Churu,NS,0.3186,3154.0,59075.0
Coimbatore,LL,0.022,89.0,116243.0
Cuddalore,LL,0.014,141.0,72989.0
Cuttack,LL,0.024,0.0,74034.0
Dadra & Nagar Haveli,NS,0.0521,716.0,17346.0
Dakshin Bastar Dantewada,LL,0.018,0.0,24840.0
Dakshina Kannada,LL,0.01,0.0,41094.0
Damoh,NS,0.3667,0.0,84356.0
Darbhanga,NS,0.0882,448.0,105321.0
Darrang,NS,0.7976,2067.0,12173.0
Datia,NS,0.8016,1141.0,28192.0
Dausa,NS,0.5511,0.0,45538.0
Davanagere,LL,0.012,0.0,50901.0
Debagarh,LL,0.024,0.0,7730.0
Dehradun,NS,0.2745,3223.0,52017.0
Deoghar,NS,0.3828,723.0,34447.0
Deoria,NS,0.4429,1288.0,69068.0
Dewas,NS,0.8798,1973.0,69371.0
Dhalai,NS,0.0541,167.0,19018.0
Dhamtari,LL,0.0401,0.0,43427.0
Dhanbad,NS,0.8036,1538.0,83152.0
Dhar,NS,0.1563,3068.0,92743.0
Dharmapuri,LL,0.018,0.0,39225.0
Dharwad,LL,0.01,0.0,46246.0
Dhemaji,NS,0.1483,3852.0,7419.0
