district,state,bio_age_5_17_total,bio_age_17_plus_total,bio_total,bio_age5_ratio,bio_age17_ratio,bio_dependency_ratio,bio_7day_avg,bio_7day_std,bio_daily_change,bio_daily_pct_change,bio_state_total_avg,bio_district_total_avg,bio_rank_in_state,avg_quarter,pincode_count,demo_age_5_17_total,demo_age_17_plus_total,demo_total,demo_age5_ratio,demo_age17_ratio,demo_dependency_ratio,demo_7day_avg,demo_7day_std,demo_daily_change,demo_daily_pct_change,demo_rank_in_state,enrol_age_0_5_total,enrol_age_5_17_total,enrol_age_18_plus_total,enrol_total,enrol_minor_ratio,enrol_adult_ratio,enrol_7day_avg,enrol_7day_std,enrol_daily_change,enrol_daily_pct_change,enrol_rank_in_state,enrol_total_national_rank,enrol_total_state_rank,enrol_total_percentile,bio_total_national_rank,bio_total_state_rank,bio_total_percentile,demo_total_national_rank,demo_total_state_rank,demo_total_percentile,enrol_minor_ratio_national_rank,enrol_minor_ratio_state_rank,enrol_minor_ratio_percentile,enrol_adult_ratio_national_rank,enrol_adult_ratio_state_rank,enrol_adult_ratio_percentile,bio_dependency_ratio_national_rank,bio_dependency_ratio_state_rank,bio_dependency_ratio_percentile,enrol_daily_pct_change_national_rank,enrol_daily_pct_change_state_rank,enrol_daily_pct_change_percentile,bio_7day_std_national_rank,bio_7day_std_state_rank,bio_7day_std_percentile,enrol_7day_std_national_rank,enrol_7day_std_state_rank,enrol_7day_std_percentile,performance_tier,bio_enrol_ratio
Hyderabad,Andhra Pradesh,9920.0,39482.0,49402.0,0.2086,0.7847,0.2699,232.1532,28.631,17.0149,8.2238,3714633.0,105744.0,14.0,2.2637,55,10619.0,67258.0,77877.0,0.138,0.8611,0.1611,1228.4153,180.7075,126.8246,13.1043,2.0,6877.0,2485.0,325.0,9687.0,0.9395,0.0566,400.1667,46.374,70.0909,31.8508,1.0,17,1,92.5,141,4,36.7,15,1,93.4,128,2,42.3,93,3,58.1,220,4,0.9,70,1,68.6,218,4,1.8,101,1,54.5,Top 10%,5.0993
Prakasam,Andhra Pradesh,85031.0,36592.0,121623.0,0.6669,0.3276,2.4717,294.2762,102.5439,-1.2835,13.5339,3714633.0,212299.0,9.0,2.2506,99,1188.0,7219.0,8407.0,0.144,0.8548,0.1691,884.863,51.3657,37.6667,3.6551,9.0,91.0,108.0,38.0,237.0,0.8361,0.1597,237.0,0.0,0.0,0.0,8.0,203,3,8.6,24,2,89.6,137,3,38.5,210,4,5.4,12,1,95.0,12,1,95.0,140,3,20.8,130,3,41.6,149,3,16.7,Bottom 25%,511.021
Sri Potti Sriramulu Nellore,Andhra Pradesh,65437.0,31432.0,96869.0,0.6393,0.3517,2.1858,229.7168,150.5349,4.9525,116.9365,3714633.0,168612.0,12.0,2.235,84,726.0,4065.0,4791.0,0.1561,0.8418,0.1854,580.75,100.6983,72.375,20.3172,12.0,1124.0,669.0,274.0,2067.0,0.8453,0.146,147.1786,3.182,0.9286,1.3381,4.0,100,2,55.2,52,3,76.9,165,4,25.8,209,3,5.9,13,2,94.6,25,3,89.1,138,2,38.0,90,2,59.7,146,2,34.4,Above average,46.8419
Visakhapatnam,Andhra Pradesh,114594.0,58139.0,172733.0,0.6277,0.368,2.2059,518.444,150.9341,-29.62,0.6944,3714633.0,311303.0,2.0,2.2457,88,4963.0,29954.0,34917.0,0.1408,0.8577,0.1651,709.5162,63.1765,8.7083,1.4965,4.0,186.0,28.0,12.0,226.0,0.9427,0.0529,226.0,0.0,0.0,0.0,5.0,204,4,8.1,10,1,95.9,47,2,79.2,123,1,44.8,101,4,54.8,24,2,89.6,140,3,20.8,87,1,61.1,149,3,16.7,Bottom 25%,760.9383
Barpeta,Assam,26224.0,8706.0,34930.0,0.6918,0.3023,3.1525,536.9429,164.3091,-70.4286,-4.3502,982722.0,95421.0,2.0,2.2468,21,678.0,5327.0,6005.0,0.1064,0.8927,0.1196,1075.6667,187.5248,186.0,18.6194,4.0,4237.0,1408.0,321.0,5966.0,0.9208,0.0751,305.4333,130.5319,184.6,132.7257,3.0,47,3,79.2,175,2,21.3,158,5,29.0,161,3,27.6,61,9,72.9,4,2,98.6,18,2,92.3,79,2,64.7,46,3,79.6,Top 25%,5.8539
Bongaigaon,Assam,9886.0,4381.0,14267.0,0.6725,0.3192,2.7908,365.8373,144.4462,-29.8043,17.9744,982722.0,36608.0,7.0,2.2609,12,984.0,9767.0,10751.0,0.094,0.9049,0.1041,1183.9444,128.9499,5.8889,3.4036,10.0,600.0,193.0,106.0,899.0,0.8177,0.1714,138.1111,23.128,12.8333,18.3105,26.0,157,11,29.4,207,7,6.8,116,1,48.0,214,11,3.6,8,1,96.8,9,3,96.4,106,11,52.5,94,4,57.9,129,11,42.1,Below average,15.8522
Dhubri,Assam,17798.0,6814.0,24612.0,0.6591,0.3347,2.5429,394.9543,173.939,-30.9231,11.0283,982722.0,59475.0,4.0,2.2564,20,879.0,7026.0,7905.0,0.1088,0.8904,0.1225,1133.0556,227.8295,280.0,34.1174,2.0,2095.0,1158.0,131.0,3384.0,0.948,0.0485,288.1852,185.3839,134.0,174.1622,6.0,71,7,68.3,195,4,12.2,139,2,37.6,111,1,50.2,111,11,50.2,11,4,95.5,9,1,96.4,69,1,69.2,24,1,89.6,Above average,7.2709
Goalpara,Assam,6508.0,3468.0,9976.0,0.6154,0.3761,2.0492,199.0116,98.2102,28.413,36.8059,982722.0,27624.0,14.0,2.2391,12,917.0,5700.0,6617.0,0.1371,0.8619,0.1589,1115.2,268.8321,262.0,25.9458,9.0,3135.0,1180.0,608.0,4923.0,0.822,0.1714,239.4804,73.3667,83.0,72.6187,9.0,57,4,74.7,211,10,5.0,153,4,31.2,213,10,4.1,9,2,96.4,30,9,86.9,36,6,84.2,132,9,40.7,76,6,66.1,Above average,2.026
Hailakandi,Assam,7085.0,2577.0,9662.0,0.6602,0.3282,2.4704,122.349,66.5666,58.5882,64.9404,982722.0,21123.0,20.0,2.2745,14,76.0,703.0,779.0,0.0974,0.9013,0.108,547.0,328.0975,464.0,147.3016,21.0,925.0,430.0,124.0,1479.0,0.8663,0.1259,188.3571,32.4259,45.8571,23.7602,19.0,127,10,43.0,212,11,4.5,216,11,2.7,202,6,9.0,19,6,91.9,14,5,94.1,88,10,60.6,183,11,17.6,119,9,46.6,Below average,6.5284
Hojai,Assam,5970.0,5111.0,11081.0,0.4865,0.5075,1.0763,327.7248,115.0498,1.2973,14.7614,982722.0,29002.0,12.0,2.2703,10,406.0,3022.0,3428.0,0.1184,0.881,0.1343,1714.0,0.0,0.0,0.0,18.0,2790.0,679.0,134.0,3603.0,0.9248,0.071,291.9583,163.8276,217.5,100.1077,16.0,69,6,69.2,210,9,5.4,176,7,20.8,157,2,29.4,65,10,71.0,86,10,61.5,27,4,88.2,116,6,48.0,30,2,86.9,Above average,3.0746
