,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
Adilabad,0.04040841,-0.03656049,-0.07536586,0.08229427,0.032802287,-20222.625,0.02401904
Agra,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Ahmadabad,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Ahmadnagar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Aizawl,0.015538209,-0.0721396,-0.08850372,-0.33843383,0.074235864,-31516.793,0.27793863
Ajmer,0.04909488,-0.057602424,-0.058259223,-0.28917497,-0.34890375,-17575.783,0.15316924
Akola,0.06468232,-0.013859666,-0.09891006,-0.19413903,-0.1882403,-21701.49,0.08587839
Alappuzha,0.035062473,-0.045008335,-0.097227864,0.029735861,0.025263205,-30161.504,-0.008823374
Aligarh,0.07450495,-0.105948746,-0.059710015,-0.4377214,0.10166727,-21710.475,0.27307808
Alirajpur,0.026313337,-0.07760198,-0.058649555,0.05358636,-0.058265228,-18292.912,-0.14552036
Almora,0.010695565,-0.052788805,-0.08902211,-0.017720839,-0.009847524,-29260.076,0.099110305
Alwar,0.07739858,-0.049016856,-0.051887468,-0.23046802,-0.35159308,-13225.9795,0.1503956
Ambala,0.02927331,-0.03950326,-0.099583656,-0.044273537,-0.04995032,-27762.61,0.030783819
Ambedkar Nagar,0.030340398,-0.07317555,-0.061380986,-0.18766502,-0.18307494,-20132.49,0.1703711
Amravati,0.118983276,-0.004655748,-0.09988978,-0.3123062,-0.24233046,-20132.568,0.20090772
Amreli,0.028353944,-0.05930755,-0.08141485,0.01755915,0.0129228635,-26181.713,-0.04062468
Amritsar,0.062850304,-0.032508075,-0.11047763,0.016799688,-0.01633599,-29173.969,0.0541304
Anand,0.048334457,-0.053609055,-0.09272585,-0.009028716,-0.010393416,-28979.775,-0.008839651
Anantnag,0.01580726,-0.06785545,-0.0708328,0.31505355,-0.03803534,-21262.877,0.00379997
Anjaw,0.0010858213,-0.06231106,-0.10376266,0.030209688,0.0015924916,-34119.63,0.24305692
Anugul,0.024364661,-0.052968685,-0.083457805,0.054150637,-0.044439763,-26723.344,0.03253466
Anuppur,0.030836595,-0.05704695,-0.09592249,-0.049678136,0.08015046,-28308.744,-0.022885693
Araria,0.060225792,-0.04436737,-0.088175446,-0.06678235,0.11260046,-23434.541,-0.020477643
Ariyalur,0.030698888,-0.050626613,-0.09943246,0.00058021763,0.066053264,-29479.463,0.13949093
Arwal,0.011462945,-0.044266254,-0.09469479,-0.035563853,0.022238048,-26357.057,-0.022034476
Ashoknagar,0.12132502,-0.082449526,-0.07569071,-0.028216211,0.06880384,-23684.09,-0.10555043
Auraiya,0.023818081,-0.094167426,-0.0565237,-0.2971144,-0.015343306,-20923.762,0.13997763
Aurangabad,0.036349807,-0.05570576,-0.075008124,-0.019229457,0.028850779,-22404.176,-0.043760203
Azamgarh,0.060556386,-0.053323407,-0.06952432,-0.20577282,-0.045523908,-20357.87,0.13449803
Bagalkot,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Bageshwar,0.008503697,-0.03851465,-0.10911846,0.018958887,-0.059004933,-31568.854,0.09884197
Baghpat,0.020140989,-0.07851174,-0.0661664,-0.29882523,0.026571468,-22934.088,0.16174272
Bahraich,0.0626564,-0.09059705,-0.042782363,-0.32263124,-0.13011491,-14826.482,0.27428412
Baksa,0.004746573,-0.087070785,-0.08805028,-0.55276847,0.2814487,-32747.432,0.21481141
Balaghat,0.048848223,-0.07198523,-0.08561236,0.3116212,0.10607571,-24847.684,0.036842275
Balangir,0.038941834,-0.050092664,-0.09337526,0.066262,-0.0048072077,-27945.262,0.043596774
Baleshwar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Ballia,0.04808994,-0.06707807,-0.06391706,-0.19267319,-0.15180247,-20003.95,0.14105013
Balrampur,0.07752509,-0.06274206,-0.059913572,-0.34696272,0.058489766,-18187.465,0.23995426
