component,feature,loading
Component_1,bio_total,0.5650038719177246
Component_1,bio_age_17_,0.5514864325523376
Component_1,bio_age_5_17,0.5213322639465332
Component_1,dependency_ratio,0.005056329071521759
Component_1,age_5_ratio,0.003984571434557438
Component_1,age_17_ratio,0.001573230605572462
Component_2,age_5_ratio,0.9631724953651428
Component_2,dependency_ratio,0.8768396377563477
Component_2,age_17_ratio,0.42023536562919617
Component_2,bio_age_17_,0.19917428493499756
Component_2,bio_age_5_17,0.07471274584531784
Component_2,bio_total,0.0701058879494667
Component_3,age_17_ratio,1.2103546857833862
Component_3,dependency_ratio,0.2809546887874603
Component_3,bio_age_17_,0.10343398153781891
Component_3,bio_age_5_17,0.0970974788069725
Component_3,age_5_ratio,0.07785170525312424
Component_3,bio_total,0.006714260671287775
Component_4,dependency_ratio,1.2114142179489136
Component_4,age_5_ratio,0.6377100944519043
Component_4,age_17_ratio,0.5674257874488831
Component_4,bio_age_5_17,0.23030191659927368
Component_4,bio_total,0.07952570170164108
Component_4,bio_age_17_,0.06955891102552414
Component_5,dependency_ratio,1.8910179138183594
Component_5,age_5_ratio,1.2450106143951416
Component_5,age_17_ratio,1.0893566608428955
Component_5,bio_age_5_17,0.8875792622566223
Component_5,bio_total,0.3991517126560211
Component_5,bio_age_17_,0.09744255244731903
Component_6,age_17_ratio,6.430933475494385
Component_6,age_5_ratio,6.255939483642578
Component_6,dependency_ratio,3.6244521141052246
Component_6,bio_total,1.6087017059326172
Component_6,bio_age_17_,1.5347431898117065
Component_6,bio_age_5_17,1.5221723318099976
Component_7,dependency_ratio,1.5506088733673096
Component_7,age_5_ratio,0.8433354496955872
Component_7,age_17_ratio,0.6927133798599243
Component_7,bio_age_5_17,0.2709423303604126
Component_7,bio_total,0.15035279095172882
Component_7,bio_age_17_,0.02275165170431137
