,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
2025-02-24,102.967766,-17.603416,-23.300762,2.282778,-2.6005867,6.9195244e-06,2.358197
2025-03-03,-3.130703,-19.07286,-22.595678,2.0179448,-2.163209,6.9099156e-06,2.0197306
2025-03-10,-2.9392948,-20.551796,-22.33358,2.0481322,-2.2570229,6.905188e-06,1.8283197
2025-03-17,-2.7478914,-22.030727,-22.07148,2.0783203,-2.350837,6.9004595e-06,1.6369085
2025-03-24,-2.556483,-23.509666,-21.809383,2.1085072,-2.4446511,6.895733e-06,1.4454981
2025-03-31,107.90919,-25.484388,-21.647223,2.641154,-3.6541421,6.8726654e-06,1.1895094
2025-04-07,-2.2052057,-25.339354,-21.616745,1.8300488,-2.3181376,6.929724e-06,1.0523876
2025-04-14,-2.0453296,-25.690113,-21.686207,1.5214024,-2.0978093,6.9684434e-06,0.85068744
2025-04-21,-1.8854556,-26.040873,-21.755667,1.2127559,-1.8774816,7.007163e-06,0.6489872
2025-04-28,99.483734,-27.846518,-22.425938,1.1301854,-2.3516371,7.2657913e-06,0.3104167
2025-05-05,-1.7077614,-26.225452,-21.798513,0.7138408,-1.4553026,7.0256715e-06,0.31791002
2025-05-12,-1.6899412,-26.059269,-21.771896,0.52357244,-1.2534515,7.0054593e-06,0.18853267
2025-05-19,-1.6721214,-25.893093,-21.745283,0.3333044,-1.0516003,6.9852485e-06,0.059154723
2025-05-26,100.86192,-27.705229,-22.589312,0.22606772,-1.3110443,7.301543e-06,-0.29941267
2025-06-02,-1.6582384,-25.609554,-21.909225,0.18856086,-0.5826836,7.0080455e-06,-0.02947808
2025-06-09,-1.6621764,-25.492195,-22.099789,0.23408465,-0.3156181,7.0510546e-06,0.011267761
2025-06-16,-1.6661108,-25.374838,-22.290352,0.2796089,-0.048552476,7.0940637e-06,0.05201294
2025-06-23,-1.6700473,-25.257479,-22.480911,0.3251331,0.21851315,7.137072e-06,0.09275777
2025-06-30,121.75184,-26.81447,-23.445772,0.5161747,1.0590616,7.4046575e-06,-0.10763711
2025-07-07,-1.755546,-24.249624,-22.040565,0.39515877,0.51259077,7.225667e-06,0.3009656
2025-07-14,-1.8371048,-23.359129,-21.409657,0.41966078,0.5396025,7.271253e-06,0.46842784
2025-07-21,-1.918667,-22.468637,-20.77875,0.44416142,0.5666145,7.31684e-06,0.6358911
2025-07-28,-2.0002258,-21.578142,-20.147844,0.46866295,0.59362644,7.362427e-06,0.8033539
2025-08-04,-2.0817842,-20.687649,-19.516937,0.49316463,0.62063843,7.4080135e-06,0.97081625
2025-08-11,-2.1633456,-19.797153,-18.88603,0.517666,0.6476503,7.4536e-06,1.1382791
2025-08-18,-2.2449028,-18.906662,-18.255123,0.542167,0.6746623,7.499187e-06,1.3057415
2025-08-25,-2.3264642,-18.016167,-17.624214,0.566669,0.70167404,7.544773e-06,1.4732039
2025-09-01,17.415827,-17.254494,-17.028786,0.6319764,0.8684335,7.588398e-06,1.6244541
2025-09-08,28.630049,-20.43723,-18.408573,1.6831212,2.2764304,7.848268e-06,2.2378378
2025-09-15,31.41167,-20.198889,-18.801878,2.4889,2.5676627,7.885838e-06,3.9881616
2025-09-22,-3.010982,-19.192839,-18.183159,1.2124956,1.5643773,7.620709e-06,3.995639
2025-09-29,-2.7815826,-19.174446,-18.115501,0.06747611,1.1710671,7.655178e-06,4.07302
2025-10-06,-2.552184,-19.15605,-18.04784,-1.0775423,0.7777574,7.689647e-06,4.1503997
2025-10-13,18.21152,-19.431742,-18.22093,-2.2489507,0.42863786,7.812478e-06,4.310736
2025-10-20,12.255947,-15.917914,-16.099857,-2.0924497,-0.2946051,7.741412e-06,3.7407172
2025-10-27,32.15239,-19.833538,-19.402826,-2.469488,-1.3343076,8.2176475e-06,5.151648
2025-11-03,30.485804,-19.396065,-19.329334,-2.7709,-0.87171954,8.232454e-06,5.5220013
2025-11-10,29.094826,-20.330086,-19.645073,-2.9290695,-0.46705195,8.321521e-06,5.9685707
2025-11-17,11.808454,-19.674757,-19.644491,-2.3777578,-0.876168,8.2825245e-06,5.4700465
2025-11-24,5.1677794,-24.906868,-18.669655,-4.788408,-0.8571114,7.739123e-06,8.139026
2025-12-01,33.602325,-22.789776,-17.07127,-3.5546634,-0.11225755,7.5517246e-06,5.2184267
2025-12-08,29.10221,-19.779932,-16.408241,-3.2119393,0.057840798,7.3346587e-06,4.055536
2025-12-15,16.86761,-21.89001,-15.2987385,-2.2009726,-0.011315088,7.4032887e-06,2.6242423
2025-12-22,18.159779,-19.439604,-16.23879,-2.2719312,-0.19629139,7.304582e-06,2.027013
2025-12-29,1.6460161,-21.865633,-15.278336,-2.1652563,-0.15502335,7.088672e-06,2.1760795
