,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
Adilabad,-0.00564369,0.0014828953,-0.05557106,-0.010869187,0.56068075,-2119.1692,-0.1515693
Agra,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Ahmadabad,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Ahmadnagar,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Aizawl,-0.0021212741,0.0020921838,-0.04038857,-0.021669952,0.076741725,3271.2107,-0.13368295
Ajmer,-0.0029378918,0.0131790675,-0.101660706,-0.053034153,1.1356413,-91053.68,-0.14137469
Akola,-0.01771262,-0.00022537663,-0.105707854,-0.08993505,0.61730206,-191893.61,-0.17008574
Alappuzha,-0.0014790287,0.0045414525,-0.035394456,-0.008603337,0.35698655,26671.523,-0.14471385
Aligarh,0.050783023,0.020037148,-0.11488314,-0.0940294,0.10288289,-694980.1,-0.17625888
Alirajpur,0.0080460375,0.034532286,-0.09665993,-0.102201805,0.15598713,-152888.31,-0.13557011
Almora,-0.004411491,0.00089790253,-0.04449383,-0.0064766677,0.165234,-14692.802,-0.15387185
Alwar,0.008789031,-0.008797223,-0.104044504,-0.05583341,1.6809437,-294571.9,-0.13325723
Ambala,-0.0082805725,0.001689325,-0.09581127,-0.06600883,0.42895955,-48742.742,-0.14929953
Ambedkar Nagar,0.03679647,0.012664483,-0.09389444,-0.048832104,0.44339624,304862.28,-0.13506146
Amravati,-0.017563589,-0.00861197,-0.10188524,-0.05703228,0.81025255,-204160.95,-0.14978576
Amreli,-0.01792827,0.018865025,-0.10542216,-0.16616221,0.5398176,-197586.38,-0.21254289
Amritsar,-0.009270747,0.012052226,-0.12847637,-0.1470144,0.71637356,-304012.28,-0.24067914
Anand,-0.030461168,0.04960134,-0.09818499,-0.20326607,0.858038,-290340.06,-0.21811397
Anantnag,-0.008316463,0.002077861,-0.06140403,-0.009517574,0.4286542,-24626.432,-0.11262935
Anjaw,-0.002865797,-0.00024395421,-0.03365871,-0.019021776,-0.076229475,-4347.801,-0.0817449
Anugul,-0.0056930436,0.0006785633,-0.059427876,-0.01210363,0.40638995,-12764.09,-0.13967602
Anuppur,-0.008485529,0.001521345,-0.050585754,-0.0047803135,0.41401145,-25063.18,-0.11974955
Araria,0.03972324,0.011468991,-0.08522693,-0.06066027,1.0079635,280312.5,-0.08800043
Ariyalur,-0.004848817,0.0028880727,-0.042576544,-0.006142051,0.26029623,-5616.0327,-0.12807044
Arwal,0.028803686,0.003349881,-0.10794626,-0.06721648,-0.053263303,128223.195,-0.1436072
Ashoknagar,-0.061278857,0.005790845,-0.10479694,-0.09077033,2.4978707,-870101.8,-0.14646083
Auraiya,0.008086168,0.0019868223,-0.06753292,-0.012564912,0.2849144,83605.266,-0.118294545
Aurangabad,0.070491314,0.010374654,-0.06809514,-0.013052101,0.23099647,557173.25,-0.103717186
Azamgarh,0.093545996,-0.010158845,-0.12420785,-0.07341523,0.30671874,142211.44,-0.18076405
Bagalkot,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Bageshwar,-0.003176024,0.0005849734,-0.04621991,-0.0069297175,0.07463205,-11939.991,-0.15260288
Baghpat,0.024164202,0.017386097,-0.096071914,-0.060660217,0.29785427,136679.39,-0.120531484
Bahraich,0.12137428,0.28040966,-0.10953625,-0.12036212,-0.6299222,-617448.25,-0.16593449
Baksa,0.01250387,0.08704445,-0.105758384,-0.24139655,0.19217105,150809.83,-0.24453564
Balaghat,-0.024216494,-0.0044723614,-0.10097632,-0.05248831,0.9927866,-172960.75,-0.12403354
Balangir,-0.0042572212,0.0032503167,-0.06132334,-0.012901176,0.6725431,19707.752,-0.12751831
Baleshwar,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Ballia,0.051552612,0.00798112,-0.0676431,-0.013736246,0.47373474,424377.53,-0.118995994
Balrampur,0.059242684,-0.02495222,-0.12746677,-0.06482849,0.37789065,-943434.94,-0.17034146
Banas Kantha,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Banda,0.061380133,0.043687295,-0.112959735,-0.093381055,-0.09162344,247722.33,-0.15472807
Banka,0.035544448,0.0062762755,-0.101883605,-0.05809685,0.61751264,207814.3,-0.13133782
Bankura,-0.010069707,0.005365914,-0.05147817,-0.019801537,1.3913684,29453.717,-0.10580831
Banswara,0.015093026,0.0030214582,-0.07002099,-0.012162003,0.5882074,153908.25,-0.105294704
Bara Banki,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Baramula,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Baran,-0.00016656301,0.0062629697,-0.10222053,-0.065410204,0.56742513,-30600.3,-0.12978773
Barddhaman,-0.00014981486,-0.00033058078,0.012594993,-0.001169149,0.00776869,-3591.1045,-0.32131004
Bareilly,0.089635804,0.0735761,-0.07709244,-0.033077378,0.51019704,160872.34,-0.058781855
Bargarh,-0.0077293087,0.0010592799,-0.0635151,-0.011058413,0.6746429,-9448.945,-0.12516214
Barmer,0.022292417,0.0030065577,-0.08602233,-0.026872646,1.355895,213127.95,-0.080903195
Barnala,-0.004542923,0.0008291873,-0.044290327,-0.0051811025,0.11508118,-16826.213,-0.14058831
Barpeta,-0.06937307,-0.0073224236,-0.11526629,-0.11953919,1.281137,-1100985.8,-0.18350536
Barwani,-0.018064806,0.019858308,-0.10335707,-0.052339252,0.2982071,-1280249.0,-0.11314248
Bastar,0.0022698853,0.0014822705,-0.060948934,-0.010581914,0.5979142,68619.336,-0.07905012
Basti,0.084803335,0.039757676,-0.097262,-0.06677019,0.3822609,400767.5,-0.12554172
