component,feature,loading
Component_1,age_5_17,0.581562876701355
Component_1,enrol_total,0.4965835213661194
Component_1,age_0_5,0.38239678740501404
Component_1,age_18_greater,0.08010226488113403
Component_1,enrol_minor_ratio,0.007956854067742825
Component_1,enrol_adult_ratio,0.0037515158765017986
Component_2,age_18_greater,0.7332867383956909
Component_2,age_5_17,0.3322797417640686
Component_2,enrol_total,0.30536729097366333
Component_2,age_0_5,0.16068455576896667
Component_2,enrol_minor_ratio,0.007520833984017372
Component_2,enrol_adult_ratio,0.005934210028499365
Component_3,enrol_minor_ratio,1.3828463554382324
Component_3,enrol_adult_ratio,0.5128147006034851
Component_3,age_0_5,0.1875140368938446
Component_3,enrol_total,0.17695817351341248
Component_3,age_5_17,0.130340576171875
Component_3,age_18_greater,0.0951409637928009
Component_4,enrol_adult_ratio,2.445235013961792
Component_4,enrol_minor_ratio,0.18884091079235077
Component_4,age_18_greater,0.1398247480392456
Component_4,age_0_5,0.0783110186457634
Component_4,enrol_total,0.07816038280725479
Component_4,age_5_17,0.04613901302218437
Component_5,age_0_5,0.7088536620140076
Component_5,enrol_total,0.5584183931350708
Component_5,age_5_17,0.3037695586681366
Component_5,age_18_greater,0.06390409171581268
Component_5,enrol_minor_ratio,0.02003720961511135
Component_5,enrol_adult_ratio,0.0035247025080025196
Component_6,enrol_total,3.424609422683716
Component_6,age_5_17,3.373685121536255
Component_6,age_0_5,3.0340981483459473
Component_6,age_18_greater,1.3034923076629639
Component_6,enrol_minor_ratio,0.05424277484416962
Component_6,enrol_adult_ratio,0.006865540519356728
Component_7,enrol_minor_ratio,1.4688937664031982
Component_7,enrol_adult_ratio,0.34250006079673767
Component_7,age_0_5,0.2676938772201538
Component_7,enrol_total,0.23996441066265106
Component_7,age_5_17,0.16703733801841736
Component_7,age_18_greater,0.08710397779941559
