,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
2025-02-24,1.5746459,-0.58969,-13.293322,9.333246,0.033996977,-3.8568672e-08,5.219211
2025-03-03,3.358603,-0.5360063,-13.38751,9.425162,0.037819646,-7.1836084e-08,5.2549777
2025-03-10,2.7897193,-0.1747004,-13.4888735,9.53653,0.033577528,-6.530799e-08,5.296849
2025-03-17,3.0453777,1.0691965,-13.484089,9.184546,0.03864219,-7.818331e-08,5.235215
2025-03-24,2.686705,-0.11825675,-13.206446,8.5081835,0.037255395,-5.1888914e-08,5.0612392
2025-03-31,76.77602,31.025301,-13.021771,7.483616,-0.73806834,-8.4967996e-07,4.8650365
2025-04-07,1.7933204,-0.7152319,-13.505099,7.3632827,0.02843677,-4.226973e-08,4.9584556
2025-04-14,1.8939544,-0.71184117,-13.70843,7.3183317,0.021240324,-4.354343e-08,5.0096183
2025-04-21,1.994589,-0.7084504,-13.911764,7.2733808,0.014043806,-4.481714e-08,5.060781
2025-04-28,73.25908,26.973097,-14.647167,7.3454595,-0.36092648,-9.29659e-07,5.396142
2025-05-05,2.1041243,-0.6968809,-14.119143,7.1147656,0.006254008,-4.6304407e-08,5.1078334
2025-05-12,2.113026,-0.68870205,-14.123188,7.001102,0.0056607155,-4.6517997e-08,5.1037226
2025-05-19,2.121926,-0.6805236,-14.127233,6.8874383,0.0050674076,-4.6731554e-08,5.0996118
2025-05-26,82.43804,20.278711,-14.059115,6.7920375,-0.23983197,-1.2676506e-06,5.114736
2025-06-02,2.1635482,-0.6610574,-14.169346,6.602067,0.0022464825,-4.750634e-08,5.100842
2025-06-09,2.1962698,-0.6497699,-14.207413,6.4303594,1.8877134e-05,-4.806755e-08,5.1061826
2025-06-16,2.2289915,-0.63848245,-14.24548,6.258652,-0.0022087444,-4.862877e-08,5.111523
2025-06-23,2.2617126,-0.6271948,-14.283546,6.0869455,-0.0044362857,-4.9189993e-08,5.1168637
2025-06-30,184.24152,44.982853,-14.09676,5.98177,-1.5512062,-3.8728854e-06,5.20425
2025-07-07,2.191084,-0.5950495,-13.895191,5.513249,-0.0001887825,-4.8757144e-08,5.121149
2025-07-14,2.0877342,-0.57419145,-13.468768,5.1112604,0.006286332,-4.7763095e-08,5.1200933
2025-07-21,1.9843847,-0.55333364,-13.042346,4.709271,0.012761387,-4.676904e-08,5.1190376
2025-07-28,1.8810353,-0.53247565,-12.615924,4.307282,0.01923654,-4.5775e-08,5.1179824
2025-08-04,1.777686,-0.5116177,-12.189501,3.9052925,0.025711667,-4.478096e-08,5.1169267
2025-08-11,1.6743357,-0.4907599,-11.763078,3.503303,0.0321868,-4.3786898e-08,5.115871
2025-08-18,1.5709862,-0.4699019,-11.336655,3.1013138,0.038661923,-4.2792845e-08,5.114815
2025-08-25,1.4676366,-0.44904396,-10.910233,2.6993244,0.045137037,-4.17988e-08,5.1137595
2025-09-01,61.027004,4.4553246,-10.199449,2.2757835,-3.113771,-4.0749748e-07,5.1354294
2025-09-08,68.97203,4.2564754,-10.269884,2.1102421,-3.839603,-4.9922613e-07,4.9293914
2025-09-15,46.81895,2.6844428,-9.600879,1.8295625,-2.7721868,-3.592074e-07,4.939764
2025-09-22,38.31516,2.1048958,-8.887735,1.4674942,-1.9474615,-2.4694026e-07,4.894557
2025-09-29,1.6758673,-0.16064559,-5.4876175,0.6565312,0.10704718,-3.897239e-08,4.9416714
2025-10-06,0.4624731,-0.40019292,-7.7591276,1.4735888,0.112975806,-3.0534565e-08,4.9568605
2025-10-13,66.143,4.373158,-9.921662,2.327514,-3.4547296,-2.9504255e-07,5.0945373
2025-10-20,23.747906,2.2694144,-8.254051,2.3264709,-1.1204145,-1.0811103e-07,5.241751
2025-10-27,48.26047,3.8253691,-8.887362,1.9876043,-3.3198695,-3.4355065e-07,4.8595676
2025-11-03,45.45151,3.5807357,-8.872183,2.379831,-2.4834836,-2.706429e-07,5.035934
2025-11-10,57.773792,5.906084,-8.921164,2.5428364,-3.283885,-4.0898388e-07,4.904493
2025-11-17,30.054966,3.184101,-9.615406,3.1452746,-1.6835514,-2.3941328e-07,4.9465075
2025-11-24,8.207519,0.45193946,-10.141592,2.8885002,-0.44413993,-7.9631405e-08,5.1798267
2025-12-01,1.2873766,-0.45496187,-10.330863,2.6770737,0.056292392,-3.9479445e-08,5.120352
2025-12-08,1.320908,-0.4383715,-10.4773,2.4655306,0.055284265,-4.0137234e-08,5.0615163
2025-12-15,26.373268,1.4105248,-10.3561,2.2521398,-1.3188481,-1.8930179e-07,4.9477234
2025-12-22,59.405178,2.792984,-8.80129,1.5527267,-3.2653177,-3.4493098e-07,4.6419992
2025-12-29,32.44192,0.84696513,-10.03079,1.8138072,-1.5149118,-2.1835599e-07,4.7426596
