district,mae,rmse
Jalor,31.611434936523438,34.48531659339776
Nabarangapur,31.9169921875,35.93530563952741
Kaimur (Bhabua),33.13664245605469,36.0469359557352
The Dangs,33.88726806640625,37.40376649545972
Garhchiroli,39.33580017089844,43.27322804720027
Central,40.950469970703125,42.61764794091322
Agra,41.95866394042969,44.106911904307864
Hardwar,42.475433349609375,49.0486445403948
Kheri,43.18280029296875,45.9039045946121
Banas Kantha,45.73851013183594,47.74251925203832
Buldana,52.26152038574219,54.87752476751639
Gondiya,57.137054443359375,59.69555737500488
West,58.944732666015625,60.504951211398804
Ahmadabad,59.39610290527344,60.94090735666089
Panch Mahals,59.69654846191406,61.32500589201969
Baramula,61.129608154296875,67.98407154896653
Bara Banki,63.038116455078125,66.34159720364931
South,64.02381896972656,65.40434630531063
North,68.42655944824219,69.81783985285387
Dadra & Nagar Haveli,69.83146667480469,71.17072069590837
East,72.91165161132812,74.39045270143878
Dakshin Bastar Dantewada,73.423828125,76.33593390198027
Uttar Bastar Kanker,77.96855163574219,80.71773978268347
Muktsar,80.17793273925781,81.05074726868655
Saraikela-Kharsawan,81.05021667480469,83.28356000548668
Ahmadnagar,82.67214965820312,85.31205070852388
Sant Ravi Das Nagar(Bhadohi),84.03045654296875,86.40650146889266
Sabar Kantha,88.60771179199219,89.75383000184449
Ramanagara,88.90980529785156,91.3577381951031
Puruliya,91.54458618164062,93.70017425944309
Maldah,93.88760375976562,95.92252529711152
Kancheepuram,106.23872375488281,109.62503117872988
Thiruvallur,107.23391723632812,110.53569841910803
Sagar,108.01118469238281,109.77581469607729
Mahbubnagar,109.4366455078125,112.05533213969561
Jhunjhunun,113.18293762207031,114.26604270571814
Lawangtlai,115.53868103027344,122.07674808035722
Pashchim Medinipur,115.86273193359375,118.17647687886114
Chittaurgarh,119.98558044433594,121.0498307451832
Bagalkot,121.56524658203125,124.03511190132816
Rangareddy,130.7635040283203,133.59552995890243
Thoothukkudi,139.0760498046875,142.22301754199282
Virudunagar,139.14239501953125,141.81998520351425
Leh (Ladakh),141.97824096679688,145.2430479188247
Jaintia Hills,142.07093811035156,145.5884007119901
Kanniyakumari,142.09388732910156,145.4667259526212
Chikmagalur,146.3367919921875,148.5281368020046
Jajapur,146.8140411376953,149.50352734133065
Tumkur,147.34205627441406,149.8663010924237
Baleshwar,150.12782287597656,152.95208348940528
Nagappattinam,150.97804260253906,153.43931388948207
North & Middle Andaman,152.8104248046875,158.46467962135915
Thiruvarur,153.93211364746094,156.53293133954273
Chamrajnagar,154.94747924804688,157.3996580166234
Barddhaman,155.74981689453125,158.15372762758392
Cachar,157.93165588378906,164.17374799659657
Lakshadweep,167.17898559570312,169.0451007682565
Nicobar,181.5358123779297,183.54710311661145
South Andaman,191.28082275390625,193.2328380154367
Purba Champaran,525.1286010742188,526.9656653900707
Pathanamthitta,605.554443359375,689.2452393742012
Gandhinagar,611.3035278320312,872.5116045073555
Bharuch,614.4544067382812,1183.0666190033426
Purbi Singhbhum,618.66455078125,648.8775645297038
Rohtak,646.264892578125,821.9566974603954
Shahid Bhagat Singh Nagar,648.3172607421875,817.0239057090067
Kurukshetra,691.0228271484375,816.2281390640732
Ambala,693.0260009765625,848.4383448430416
Punch,697.174560546875,910.5543641101283
Kaithal,710.869384765625,983.8667338618579
Hassan,714.611328125,974.4960235937343
Surendranagar,720.2237548828125,1039.0283922973424
Yanam,721.0579833984375,723.6743051953689
Amreli,729.529541015625,1112.22940529371
Almora,747.9158325195312,1042.6758844434833
Sahibzada Ajit Singh Nagar,751.178466796875,998.93092854311
Wayanad,767.7572021484375,885.8599988147112
Jalpaiguri,773.075439453125,931.6078842517381
Karnal,774.3067626953125,933.095553788571
Valsad,796.314208984375,1263.0959979352322
Harda,803.7640380859375,919.4549676302804
Kanpur Dehat,811.6953125,1149.0800668360755
Sonipat,814.8571166992188,1177.5695308558218
Buxar,816.28369140625,1076.5189269121097
Bhiwani,819.6083984375,1206.0161690458383
Guna,820.2642822265625,1080.5240048235855
Mandsaur,820.5901489257812,1142.4431058043986
Uttara Kannada,824.3091430664062,1098.048837711693
Kasaragod,824.7413330078125,1021.1500257063112
Ramban,826.8547973632812,1005.6305546770146
Sheikhpura,827.304931640625,996.7621017574855
Haveri,829.7007446289062,1173.957622744535
Jamnagar,835.859130859375,1260.074600966149
Giridih,839.2000122070312,1194.8151530676198
Sindhudurg,842.5615844726562,1186.7721980228557
Yadgir,843.9851684570312,1179.8841574493658
Rajouri,844.4661865234375,1000.8964419459188
Pulwama,847.0661010742188,983.9888528332016
Fatehabad,850.60595703125,1111.725910465345
Kannauj,853.505126953125,1178.2719868519323
Munger,853.794677734375,1020.9461604315871
Chitrakoot,854.2203369140625,1168.1303437544973
Khunti,859.6107177734375,1006.820987067711
Etawah,859.9210815429688,1264.4378197444112
Chamoli,860.4432373046875,1069.2284601524595
Patan,860.9898071289062,1227.823328089184
Puducherry,869.529296875,1138.2887375354287
Kapurthala,872.4296264648438,1153.9392315022485
Karbi Anglong,878.287353515625,1155.4125886452857
Chitradurga,880.29345703125,1235.981947683703
Jaisalmer,885.4884033203125,1092.8654995011966
Chatra,889.0087280273438,1192.2091888590694
Deoghar,890.1541748046875,1183.3836022186551
Sahibganj,894.0171508789062,1166.2892008417123
Alappuzha,898.6669921875,1016.9755712405289
Lakhisarai,900.012939453125,1125.368828429151
