district,mae,rmse
Dibang Valley,10.551460266113281,11.815652739404756
Lohit,12.372045516967773,13.223045715276086
Tumkur,12.775688171386719,16.03511866241027
Kinnaur,12.931953430175781,16.08868624827125
Chikmagalur,14.021354675292969,16.345057010358666
Bagalkot,14.038551330566406,17.700844196080205
Chamrajnagar,15.51263427734375,17.433922404055405
Dakshin Bastar Dantewada,15.5184326171875,20.71161235226434
Mahbubnagar,15.662559509277344,19.600125433072808
Buldana,15.767852783203125,20.731648246429224
Rangareddy,16.065811157226562,20.44448929012374
Mokokchung,16.596229553222656,19.173448418778978
Thiruvallur,16.660842895507812,17.971192089485537
South,16.742691040039062,20.38286864571608
Puruliya,16.74932861328125,20.28723564046222
Barddhaman,16.7587890625,20.013883730855127
Kancheepuram,16.851463317871094,18.25144388418138
Maldah,16.853652954101562,20.054690543435687
East,16.893829345703125,20.431870551384073
West,16.941246032714844,20.22233820918057
North,17.294944763183594,21.36672760016947
Saraikela-Kharsawan,17.315811157226562,20.63589319342938
Agra,17.63946533203125,23.306865103172928
Diu,17.648048400878906,20.28412456155098
Pashchim Medinipur,17.73278045654297,20.492165161539482
Uttar Bastar Kanker,18.00592803955078,23.335492860678585
Ahmadnagar,18.069686889648438,19.613634061878518
Kheri,18.181190490722656,22.52499967484045
Garhchiroli,18.305160522460938,23.60800867778705
Kaimur (Bhabua),18.483253479003906,23.708824040899703
Chittaurgarh,18.51861572265625,21.141898173968144
Nabarangapur,18.736358642578125,21.2429762059354
Longleng,18.953598022460938,21.544828299729932
Bara Banki,18.984039306640625,24.620285279939893
Sant Ravi Das Nagar(Bhadohi),19.383338928222656,24.993585602891443
Tirap,19.670738220214844,21.29061347561335
Nagappattinam,19.676284790039062,22.518594475854144
Thiruvarur,19.715972900390625,22.587007606091966
Gondiya,20.461288452148438,26.40823772104549
Panch Mahals,20.75334930419922,21.81852643289929
Central,20.767532348632812,22.284313702850067
Jaintia Hills,20.991928100585938,25.679301269152067
Baleshwar,21.179107666015625,22.640476729155626
Jajapur,21.537734985351562,22.72890290673419
Virudunagar,21.574851989746094,25.039599984480834
Jhunjhunun,21.63500213623047,22.620934221182434
Sabar Kantha,21.800216674804688,22.7557365814267
The Dangs,22.158432006835938,23.434654775216845
Sagar,22.51263427734375,29.915867135105955
Cachar,22.943527221679688,27.08220450371886
Lower Dibang Valley,23.366104125976562,28.064099646431625
Dadra & Nagar Haveli,23.638465881347656,26.01511119988126
Hardwar,23.711265563964844,24.679535404327154
Jalor,24.304733276367188,26.050631009182148
Ahmadabad,25.034210205078125,28.110017710829087
Serchhip,25.05609893798828,27.65395912122033
Banas Kantha,25.194114685058594,27.96981492386033
Thoothukkudi,25.490341186523438,28.417666718755804
Muktsar,27.42205047607422,30.904814251914093
Lakshadweep,27.588821411132812,30.135928629062313
Lawangtlai,28.538734436035156,31.22827272024253
Kolasib,29.182205200195312,33.31609458209538
Kanniyakumari,29.448219299316406,31.802991963831996
Samba,29.91607093811035,37.93848137631006
West Kameng,30.521316528320312,35.26518885419267
Karaikal,32.491416931152344,40.49975585863913
Tawang,32.827667236328125,35.88626612897596
Yanam,32.984840393066406,38.80851177174281
Zunheboto,33.263206481933594,39.36106369193975
Shahid Bhagat Singh Nagar,34.168968200683594,44.62796241480083
Upper Siang,34.95222854614258,45.66292569692754
Mamit,38.79859924316406,41.043657087415774
Papum Pare,39.25042724609375,42.410934650508324
Ganderbal,41.28227996826172,46.66235099092201
South Goa,41.521018981933594,45.80507059472237
Chandel,43.57061004638672,49.84643899486452
East Kameng,43.89257049560547,48.0092586488859
Kargil,44.73388671875,57.916780950127055
Kodagu,44.90966796875,52.8045112301023
Senapati,45.976234436035156,50.73643695763677
Wokha,46.405364990234375,48.36811310392804
Changlang,46.49116516113281,52.56255573718805
Lower Subansiri,46.49956512451172,49.982638587376016
Faridkot,46.885414123535156,53.78148151460919
Champhai,47.10578155517578,49.397557149557
Porbandar,48.489112854003906,58.43709892910496
Leh (Ladakh),49.130210876464844,50.09896943332517
New Delhi,49.726783752441406,50.60132548288632
Kulgam,50.38719940185547,57.26710221491699
Bageshwar,51.38872528076172,60.731299767783455
Dima Hasao,51.50391387939453,54.76965703773623
Baramula,51.55409240722656,52.3059868443912
North Goa,52.002113342285156,59.94801825396837
Fatehgarh Sahib,52.324256896972656,60.74522148773309
Moga,52.4881591796875,63.40158504586557
Phek,52.88115692138672,56.3630807798864
East Siang,53.13451385498047,60.369330414437265
Imphal East,53.45306396484375,61.697753548802325
Lunglei,53.467247009277344,60.06242683398249
Dimapur,53.7830810546875,54.970419957578095
Purba Champaran,54.052635192871094,58.39344512523431
Rupnagar,55.069129943847656,69.30554659666497
Dhalai,55.07862091064453,60.59065554243905
Narmada,55.37683868408203,62.30149923268801
Tamenglong,57.133445739746094,67.4309506493031
Mansa,58.14002990722656,65.33770820346587
North Tripura,58.84192657470703,64.20667085304494
Barnala,60.14789581298828,67.16350952502967
Chamoli,61.12773132324219,72.78857573694171
Imphal West,61.607994079589844,74.27741102826955
The Nilgiris,61.702972412109375,74.55888835029161
Solan,62.32017517089844,74.92088600754965
Rudraprayag,62.70703125,68.89977293821438
Pithoragarh,62.75706481933594,76.13348872519077
Sindhudurg,62.99553680419922,72.71670871651507
Ramanagara,64.77029418945312,66.00431670897555
Thoubal,64.90906524658203,73.59714694920245
Pathanamthitta,66.05302429199219,89.22063811487227
Ukhrul,67.15833282470703,75.41951680848267
Chirang,67.30697631835938,74.708620183266
Gajapati,67.5283432006836,72.83168336350946
Saiha,68.4020004272461,77.97662785852887
Idukki,68.48684692382812,76.19283205295626
Kohima,68.52700805664062,71.75668931143284
Kishtwar,69.12229919433594,80.52982512321134
Una,70.20614624023438,84.65473882003003
Churachandpur,70.75887298583984,77.66328250350193
Almora,71.24134063720703,84.73013225824683
Purbi Singhbhum,71.37995147705078,79.29812345076333
Aizawl,71.4283447265625,82.3606600283928
Sangrur,71.43785095214844,87.50217631222094
Jharsuguda,72.31756591796875,77.9263004433115
Anjaw,72.52152252197266,89.30897911184519
Debagarh,72.64421844482422,77.46279348822891
Mon,75.65260314941406,92.72765482179521
Champawat,76.16421508789062,86.3055669056536
Kullu,77.77786254882812,84.80718019425007
Ariyalur,78.40065002441406,98.97764504548489
Tapi,79.04157257080078,91.2153615763266
Perambalur,79.1334228515625,97.99467360365817
Kapurthala,79.55421447753906,96.56296520923537
Shimla,79.65074920654297,93.20261027728783
Kiphire,79.73509216308594,90.23981450055042
Uttarkashi,79.8461685180664,93.35926908989809
Pulwama,80.12126159667969,102.4350594584198
Bongaigaon,80.57311248779297,95.39083870778681
Bishnupur,81.22825622558594,84.13097234557853
Upper Subansiri,81.66004943847656,110.62589159245226
Kokrajhar,83.42388153076172,92.89892861330533
Sirmaur,84.13241577148438,101.58268068733469
Nuapada,84.24456787109375,98.49866155499272
Subarnapur,84.47004699707031,91.23442718143738
Sivasagar,85.68717193603516,106.13900452354922
Kandhamal,87.57630920410156,96.74993943796554
Panchkula,87.86473083496094,98.64253448373577
Rayagada,88.12628173828125,95.20253902864145
Reasi,92.37662506103516,101.35498993327857
Nayagarh,92.97874450683594,102.79028065374177
Jaisalmer,93.17955017089844,105.07852346578724
Bhandara,93.19992065429688,109.83626841519607
Tuensang,93.36003112792969,100.1672137134951
Udupi,94.15829467773438,111.84965669650042
Sheikhpura,94.71865844726562,115.11212265113522
Sambalpur,96.18956756591797,114.7026386466327
Baksa,97.30057525634766,117.86835545959738
Ramban,97.49143981933594,109.27647794842447
Simdega,97.64578247070312,114.55253468660132
Malkangiri,97.76778411865234,106.10721564030177
Wardha,98.06099700927734,111.84032283796395
Wayanad,99.56887817382812,112.28658142087816
Anugul,100.0684814453125,125.31593667357316
Ratnagiri,100.47576904296875,113.26251138119356
Kupwara,103.32334899902344,127.27807739110062
Tarn Taran,103.49060821533203,127.24476981515782
Sahibzada Ajit Singh Nagar,104.19441986083984,126.98119785769467
South Tripura,105.14274597167969,111.79888734212653
Theni,105.644775390625,129.75656293613824
Khunti,106.57195281982422,128.79639637330698
East Garo Hills,107.66876220703125,117.98803650291202
Peren,107.68423461914062,126.7409082044941
Srinagar,107.95692443847656,132.33893512492838
Hoshiarpur,108.28993225097656,130.69434463185468
Koriya,108.46742248535156,121.56348408984707
Hingoli,108.63862609863281,125.27754344105331
Bathinda,108.9124755859375,129.39122029962078
Dhenkanal,108.96065521240234,148.7352146013176
Pakur,109.03762817382812,139.78200103196406
Puri,109.19068145751953,137.62786668222392
Arwal,109.38043212890625,122.9050382917641
Jehanabad,111.6981201171875,133.9476781013766
Uttara Kannada,112.82722473144531,128.32463106317508
Chamba,113.81016540527344,127.83710414160866
Koraput,117.58272552490234,143.93524748563155
Kottayam,117.68651580810547,137.3671232955688
Golaghat,117.70072174072266,137.59185142342187
Chikkaballapura,117.97982788085938,142.1901373381783
Chandigarh,118.35514831542969,131.48826587380336
Puducherry,118.53539276123047,138.6523797916033
Haveri,118.60089111328125,143.20296730078604
Mahoba,118.85548400878906,142.6290807917516
Bundi,119.08602905273438,138.5637192661737
Gadag,119.65145874023438,131.80575788826525
West Khasi Hills,119.67317199707031,131.5907778398623
Kalahandi,120.63835144042969,138.74635411876594
Narayanpur,122.18040466308594,125.96547456049217
Lohardaga,122.7181396484375,152.52047121821056
Jorhat,122.81076049804688,132.62298243045961
Harda,123.40505981445312,139.9273248868855
West Garo Hills,124.30021667480469,142.82259264118545
