db_district,shapefile_district
Adilabad,Adilabad
Prayagraj,Agra
Ahmedabad,Ahmadabad
Ahmednagar,Ahmadnagar
Aizawl,Aizawl
Ajmer,Ajmer
Akola,Akola
Alappuzha,Alappuzha
Aligarh,Aligarh
Alirajpur,Alirajpur
Almora,Almora
Alwar,Alwar
Ambala,Ambala
Ambedkar Nagar,Ambedkar Nagar
Dr B R Ambedkar Konaseema,Ambedkar Nagar
Amravati,Amravati
Amreli,Amreli
Amritsar,Amritsar
Anand,Anand
Anantnag,Anantnag
Anjaw,Anjaw
Anugul,Anugul
Anuppur,Anuppur
Araria,Araria
Ariyalur,Ariyalur
Arwal,Arwal
Ashoknagar,Ashoknagar
Auraiya,Auraiya
Aurangabad,Aurangabad
Azamgarh,Azamgarh
Bagalkote,Bagalkot
Bageshwar,Bageshwar
Baghpat,Baghpat
Bahraich,Bahraich
Baksa,Baksa
Balaghat,Balaghat
Balangir,Balangir
Baleswar,Baleshwar
Ballia,Ballia
Balrampur,Balrampur
Balrampur-Ramanujganj,Balrampur
Banaskantha,Banas Kantha
Banda,Banda
Banka,Banka
Bankura,Bankura
Banswara,Banswara
Barabanki,Bara Banki
Baramulla,Baramula
Baran,Baran
Paschim Bardhaman,Barddhaman
Purba Bardhaman,Barddhaman
Bareilly,Bareilly
Bargarh,Bargarh
Barmer,Barmer
Barnala,Barnala
Barpeta,Barpeta
Barwani,Barwani
Bastar,Bastar
Basti,Basti
Bathinda,Bathinda
Begusarai,Begusarai
Betul,Betul
Bhadrak,Bhadrak
Bhagalpur,Bhagalpur
Bhandara,Bhandara
Bharatpur,Bharatpur
Manendragarh Chirmiri Bharatpur,Bharatpur
Manendragarh Chirmiri Bharatpur M C B,Bharatpur
Bharuch,Bharuch
Bhavnagar,Bhavnagar
Bhilwara,Bhilwara
Bhind,Bhind
Bhiwani,Bhiwani
Bhojpur,Bhojpur
Bhopal,Bhopal
Bidar,Bidar
Bijapur,Bijapur
Bijnor,Bijnor
Bikaner,Bikaner
Bilaspur,Bilaspur
Birbhum,Birbhum
Bishnupur,Bishnupur
Bokaro,Bokaro
Bongaigaon,Bongaigaon
Budaun,Budaun
Bulandshahr,Bulandshahr
