district,mae,smape,r2
East Godavari,0.6766511,181.33435249328613,-0.29409852179507934
Pune,0.49765354,115.40747880935669,-0.3874256295421332
Mumbai,0.45613888,122.16098308563232,-0.289266704067739
Agra,0.42505315,116.3095474243164,-0.12566331355056093
Hyderabad,0.41980982,163.1158709526062,-0.38418885007617387
Visakhapatnam,0.39883968,187.4675989151001,-0.2596916741810338
Kurnool,0.3922515,165.9397840499878,-0.18362802821903546
Thane,0.38817123,139.28053379058838,-0.5419336612781629
Guntur,0.38131797,172.2391128540039,-0.2271470406430145
Krishna,0.35912132,172.03941345214844,-0.44524457065672585
Hardwar,0.32586062,144.6489453315735,-0.7351419848631098
Chittoor,0.3224191,174.2961049079895,-0.1592101324058064
Rangareddy,0.31049982,168.9790964126587,-0.27217012910770566
West Godavari,0.3064256,143.85355710983276,-0.2986342382257543
Nashik,0.29778028,119.07517910003662,-0.4262337624590138
Balrampur,0.2856315,122.10549116134644,-0.1462449530405172
Udham Singh Nagar,0.2776601,152.56246328353882,-0.4997271660899665
Kishanganj,0.25625986,85.67262887954712,-0.20005288541201094
Ahmadabad,0.25024542,154.84589338302612,-0.6426616916507075
Bilaspur,0.24901809,153.56292724609375,-0.17318477960326906
Salem,0.247691,178.70357036590576,-1.0786955387043142
Jaipur,0.2476599,135.40273904800415,-0.6405840002751326
Jalgaon,0.24623583,156.285560131073,-0.43095327332109035
Raipur,0.24577767,105.11809587478638,-0.22362219387825322
Bareilly,0.24073428,160.29561758041382,-0.3636090962366083
Thiruvallur,0.23543757,166.0170078277588,-0.43687455602762126
Aligarh,0.23521325,144.4172501564026,-0.8109520177936056
Prakasam,0.23437323,140.25896787643433,-0.1884166896717998
Janjgir-Champa,0.23391318,131.71164989471436,-0.43730080569019947
Durg,0.2290528,140.95604419708252,-0.04837951468681867
Saran (Chhapra),0.22654702,131.54689073562622,-0.0908611971311335
South,0.22575563,140.20006656646729,-0.1885560794142611
Kheri,0.22320837,157.501482963562,-0.10727340176623912
Surat,0.22111204,188.58752250671387,-0.4571213849324167
Dehradun,0.21938546,153.09486389160156,-0.8869429873875228
Solapur,0.21929908,146.56691551208496,-0.40256835621820897
Kancheepuram,0.21840212,156.15400075912476,-0.5127124947381259
Sri Potti Sriramulu Nellore,0.2182183,142.21867322921753,-0.1778308409975966
Vizianagaram,0.2147074,118.0512547492981,-0.1583673254716509
Hardoi,0.20877978,138.2468581199646,-0.08088335499358834
North,0.20686533,143.67172718048096,-0.33600222779280653
East,0.20573074,139.66574668884277,0.05792904883471284
Vellore,0.2010232,164.7290587425232,-0.31830818287041773
Bijnor,0.19935887,155.24249076843262,-0.39201500139021617
Bahraich,0.19570786,147.8207230567932,-0.27839195533510463
Rajnandgaon,0.19395669,126.29110813140869,-0.34456106171293954
Ahmadnagar,0.19258639,147.94405698776245,-0.5742456851829107
Srikakulam,0.18599051,121.98970317840576,-0.0017044851286267537
Tiruppur,0.18370494,120.46571969985962,-0.191026053477507
Fatehpur,0.18158677,127.7466893196106,-0.29122118757029414
Nanded,0.18109402,167.11210012435913,-0.5678251624040613
Ratlam,0.17977904,99.31005239486694,-0.24622527122168814
Meerut,0.176135,131.13129138946533,-0.28725379713265475
Mahbubnagar,0.17609859,164.74149227142334,-0.24092721925230776
Dhar,0.1756549,141.8305516242981,-0.8459558620807022
Alwar,0.17480959,144.22236680984497,-0.37180890503715536
Sitapur,0.17372169,152.02710628509521,0.32051343672664123
Lucknow,0.17209147,138.32669258117676,-0.20957858038460597
Viluppuram,0.17190757,137.39991188049316,-0.4267174660694102
Azamgarh,0.17078398,121.82008028030396,-0.1823157927552772
Tirunelveli,0.16627814,140.03493785858154,-0.625576277830135
Ghaziabad,0.16365522,133.14056396484375,-0.13880740882494846
Chennai,0.16313359,158.10202360153198,-0.5865547442216343
Bulandshahr,0.16247576,114.61993455886841,-0.01903668156891336
Nagpur,0.16219357,136.31421327590942,-0.40639524525568804
Jodhpur,0.16085821,136.87163591384888,-0.5278791013351822
Nizamabad,0.15849598,102.85584926605225,-0.6626069478431638
Kozhikode,0.15792216,113.22433948516846,-1.2430604208640723
Ganjam,0.1576022,146.5848445892334,-0.48097816176906605
Moradabad,0.15676533,114.56407308578491,0.11693482920905485
Madurai,0.15640189,138.78852128982544,-0.47927149606514696
Gonda,0.15485483,144.34731006622314,-0.4899531869244784
Nainital,0.15119435,89.56505060195923,-1.0555325881693376
Madhubani,0.15109047,112.84348964691162,-0.06021314830450408
Karimnagar,0.150995,89.81887102127075,-0.531125466920334
Kolhapur,0.15099186,116.63459539413452,-0.74843067494479
Saharanpur,0.14994742,122.26628065109253,0.06135158781580219
Barmer,0.14988385,131.1776041984558,-0.5078636210869343
Indore,0.14684886,169.83373165130615,-0.4495832091730365
Banas Kantha,0.14612095,127.54839658737183,-0.6497752111474662
Sangli,0.14459981,109.6729040145874,-0.5838041212121883
Nalgonda,0.14425284,104.4524073600769,-0.38722226936206283
Nagaur,0.14240573,109.24912691116333,-0.5529131539997489
Patna,0.14169207,128.23007106781006,-1.1685664424882463
Cuddalore,0.14139497,103.15893888473511,-0.38884202118051747
Anantnag,0.14110552,75.74290037155151,-0.30510693416323287
Bara Banki,0.13989355,136.82669401168823,-0.07749305937291906
Coimbatore,0.13842687,114.31046724319458,-0.503450378888326
Srinagar,0.13769853,60.126811265945435,-0.4940052924627065
Chandrapur,0.13682845,79.23252582550049,-1.2450374781149622
Buldana,0.135616,94.7682797908783,-0.9459613210427682
Satara,0.13555056,99.50293302536011,-0.7098148181923978
Kanpur Nagar,0.1346073,117.41026639938354,-0.1250395512221314
Katihar,0.13260691,101.99681520462036,0.010941223413809764
Krishnagiri,0.13001171,95.85824608802795,-0.718361634676723
Bhopal,0.12926935,115.64862728118896,-0.32683471661509245
Kangra,0.1291664,71.7076063156128,-0.6235828965228194
Budaun,0.12905139,114.41903114318848,-0.7107896332601402
Unnao,0.12822789,108.34921598434448,-0.7575707837393737
Mahasamund,0.12710617,73.7697958946228,-0.3631093207591576
Surguja,0.12609962,74.25693869590759,-0.1045087518403689
Yavatmal,0.12594625,119.80559825897217,-0.10289721925323891
Malappuram,0.12446608,103.2302975654602,-0.525857246064898
Kushinagar,0.123631254,105.28457164764404,-0.21347849092531557
Mathura,0.123485394,94.29384469985962,-0.6420637679698762
Siddharth Nagar,0.12346359,92.21365451812744,-0.5380918096522325
Jaunpur,0.121946886,121.02091312408447,-0.01739320634353736
Jammu,0.12076919,53.997814655303955,-0.501177798864544
Vadodara,0.12030787,114.38852548599243,-0.30561201838862284
Shahjahanpur,0.11989819,96.9428300857544,0.05640308164054186
Varanasi,0.11977684,108.96140336990356,0.2855006992765282
Warangal,0.11940323,102.9330849647522,-0.34635163128846735
Raigarh,0.11885811,84.63550806045532,-0.25730746498452994
Gorakhpur,0.11883413,100.33489465713501,0.01741961909138412
Uttar Bastar Kanker,0.11830432,74.89382028579712,-0.4673936676767545
Pratapgarh,0.11819136,120.81937789916992,-0.5423573453112487
Medak,0.118088044,78.3856987953186,-0.2121087753699482
Muzaffarnagar,0.116592646,88.06302547454834,-0.3011556361349097
Tiruvannamalai,0.11619958,64.3159568309784,-0.4407730018368279
Ambedkar Nagar,0.11610607,91.74132943153381,-0.31210887397743914
Barddhaman,0.11592889,110.59781312942505,-0.380941662342698
North 24 Parganas,0.11592278,112.39060163497925,-0.9797265009086471
Vaishali,0.11590859,90.68970084190369,-0.5489415615711248
Ernakulam,0.11537877,72.44606018066406,-0.7417161585622776
Thiruvananthapuram,0.11480438,82.39853382110596,-1.4880261602717049
Parbhani,0.114770874,95.65149545669556,-1.0846480361289048
Thanjavur,0.114566274,84.4090461730957,-0.3455178017463265
Amravati,0.11451939,92.65412092208862,-0.7521059074877348
Garhwa,0.113916636,96.96661829948425,-0.21898564160067524
Dharmapuri,0.11349778,79.36407327651978,-0.5566974101684163
Dhule,0.112803966,76.85636878013611,-0.6034049555315919
Gaya,0.112338014,95.75523734092712,-0.8155590943573701
Ashoknagar,0.11197595,108.12547206878662,-0.645742165119394
Baramula,0.11162857,46.04896008968353,-0.3556763963644851
Tiruchirappalli,0.11162775,88.27267289161682,-0.3331669238013313
Firozabad,0.111085266,91.28507971763611,-0.16812767741605095
Balaghat,0.11045975,80.48434853553772,-0.4128522041706404
Tehri Garhwal,0.11006603,66.84789061546326,-1.3955875553386057
Pashchim Champaran,0.1096665,96.79690599441528,-0.9546120634955413
Nalanda,0.10902147,76.06884837150574,-0.16537388146448118
Udaipur,0.10865373,99.75588917732239,-0.7085036503269913
Adilabad,0.1069663,66.87279343605042,-0.5327620312279309
Gwalior,0.106588535,63.32632899284363,-1.4122892251968824
Jalandhar,0.106566675,54.818177223205566,-0.5417943176635232
South 24 Parganas,0.1059848,103.88191938400269,-0.19973506735903301
Sitamarhi,0.105829544,110.49606800079346,-0.0692746058981415
Maharajganj,0.10540394,82.9480230808258,-0.5415491585419496
Basti,0.1051939,68.38008165359497,-0.880076910688707
Hingoli,0.105025806,58.221614360809326,-1.8635146757412637
Farrukhabad,0.10444678,68.0757462978363,-0.5650353523223199
Jhansi,0.10346994,79.44508790969849,-0.3537214528460406
Dhamtari,0.10297907,66.42916202545166,-0.7172811471461256
Erode,0.10219897,74.43758249282837,-0.7164358913975424
Faridabad,0.101800494,74.593985080719,-0.32832574368091083
Bhavnagar,0.10123063,56.318479776382446,-0.7654820161793938
Ludhiana,0.100808896,67.4098014831543,-0.31669868157313297
Thoothukkudi,0.100628525,78.22287678718567,-0.5506646523750338
Nagaon,0.100352496,65.9605622291565,-0.2677868612890666
Ujjain,0.10028995,100.72357654571533,-0.1755455432446209
Murshidabad,0.100176975,91.81095361709595,-1.0138177196714313
Muzaffarpur,0.09996139,111.50412559509277,-0.2704229204225055
Khammam,0.099589184,72.57988452911377,-0.32586267934245483
Palakkad,0.09939056,55.29034733772278,-1.2135967209262168
Mayurbhanj,0.09908932,83.12144875526428,-0.556459496947876
Deoria,0.09896247,89.20682072639465,-0.43309619948860534
Churu,0.098808974,85.23642420768738,-0.6193175001907265
Sultanpur,0.09872338,72.92042970657349,-0.20034078246870823
Ballia,0.098489515,78.09619903564453,-0.34974236946770554
Virudunagar,0.09692336,65.5379056930542,-0.6956069779510863
Begusarai,0.096811846,73.19912314414978,-0.059740000142399996
Bikaner,0.096535355,75.24115443229675,-0.8350793356018207
Jalna,0.09634806,69.04310584068298,-0.6093633487937962
Pudukkottai,0.096072465,67.44123697280884,-0.2423810368869086
Dindigul,0.09587046,71.46013975143433,-0.5794525953157184
Rajouri,0.09576423,39.98731076717377,-0.33523538937704345
Ramban,0.09558617,37.86763846874237,-0.17745766651239214
