date,district,bio_total,bio_age_5_17,bio_age_17_,age_5_ratio,age_17_ratio,dependency_ratio
2024-01-01,Chennai,5159,1957,3202,0.3793,0.6207,0.38
2024-01-08,Chennai,5168,1981,3187,0.3833,0.6167,0.3832
2024-01-15,Chennai,5249,2031,3218,0.3869,0.6131,0.3863
2024-01-22,Chennai,5332,2081,3251,0.3903,0.6097,0.3893
2024-01-29,Chennai,5354,2104,3250,0.393,0.607,0.392
2024-02-05,Chennai,5327,2103,3224,0.3948,0.6052,0.3944
2024-02-12,Chennai,5332,2110,3222,0.3957,0.6043,0.3965
2024-02-19,Chennai,5317,2104,3213,0.3957,0.6043,0.3981
2024-02-26,Chennai,5266,2079,3187,0.3948,0.6052,0.3992
2024-03-04,Chennai,5276,2073,3203,0.3929,0.6071,0.3999
2024-03-11,Chennai,5268,2056,3212,0.3903,0.6097,0.4
2024-03-18,Chennai,5198,2012,3186,0.3871,0.6129,0.3996
2024-03-25,Chennai,5210,1997,3213,0.3833,0.6167,0.3987
2024-04-01,Chennai,5170,1961,3209,0.3793,0.6207,0.3973
2024-04-08,Chennai,5174,1942,3232,0.3753,0.6247,0.3955
2024-04-15,Chennai,5175,1923,3252,0.3716,0.6284,0.3933
2024-04-22,Chennai,5180,1908,3272,0.3683,0.6317,0.3907
2024-04-29,Chennai,5201,1902,3299,0.3657,0.6343,0.3878
2024-05-06,Chennai,5195,1890,3305,0.3638,0.6362,0.3848
2024-05-13,Chennai,5180,1880,3300,0.3629,0.6371,0.3816
2024-05-20,Chennai,5195,1885,3310,0.3628,0.6372,0.3784
2024-05-27,Chennai,5153,1875,3278,0.3639,0.6361,0.3752
2024-06-03,Chennai,5130,1876,3254,0.3657,0.6343,0.3722
2024-06-10,Chennai,5061,1864,3197,0.3683,0.6317,0.3693
2024-06-17,Chennai,5061,1881,3180,0.3717,0.6283,0.3667
2024-06-24,Chennai,5089,1910,3179,0.3753,0.6247,0.3645
2024-07-01,Chennai,5118,1941,3177,0.3792,0.6208,0.3627
2024-07-08,Chennai,5142,1971,3171,0.3833,0.6167,0.3613
2024-07-15,Chennai,5222,2021,3201,0.387,0.613,0.3604
2024-07-22,Chennai,5308,2072,3236,0.3904,0.6096,0.36
2024-07-29,Chennai,5345,2100,3245,0.3929,0.6071,0.3601
2024-08-05,Chennai,5408,2135,3273,0.3948,0.6052,0.3608
2024-08-12,Chennai,5438,2152,3286,0.3957,0.6043,0.3619
2024-08-19,Chennai,5422,2146,3276,0.3958,0.6042,0.3635
2024-08-26,Chennai,5395,2130,3265,0.3948,0.6052,0.3656
2024-09-02,Chennai,5380,2114,3266,0.3929,0.6071,0.368
2024-09-09,Chennai,5353,2089,3264,0.3902,0.6098,0.3707
2024-09-16,Chennai,5289,2047,3242,0.387,0.613,0.3737
2024-09-23,Chennai,5267,2019,3248,0.3833,0.6167,0.3768
2024-09-30,Chennai,5298,2010,3288,0.3794,0.6206,0.38
2024-10-07,Chennai,5265,1976,3289,0.3753,0.6247,0.3832
2024-10-14,Chennai,5283,1963,3320,0.3716,0.6284,0.3863
2024-10-21,Chennai,5281,1945,3336,0.3683,0.6317,0.3893
2024-10-28,Chennai,5305,1940,3365,0.3657,0.6343,0.392
2024-11-04,Chennai,5324,1937,3387,0.3638,0.6362,0.3944
2024-11-11,Chennai,5338,1937,3401,0.3629,0.6371,0.3965
2024-11-18,Chennai,5346,1940,3406,0.3629,0.6371,0.3981
2024-11-25,Chennai,5329,1939,3390,0.3639,0.6361,0.3992
2024-12-02,Chennai,5261,1924,3337,0.3657,0.6343,0.3999
2024-12-09,Chennai,5223,1924,3299,0.3684,0.6316,0.4
2024-12-16,Chennai,5215,1938,3277,0.3716,0.6284,0.3996
2024-12-23,Chennai,5198,1951,3247,0.3753,0.6247,0.3987
2024-12-30,Chennai,5203,1974,3229,0.3794,0.6206,0.3973
2025-01-06,Chennai,5216,1999,3217,0.3832,0.6168,0.3955
2025-01-13,Chennai,5286,2046,3240,0.3871,0.6129,0.3933
2025-01-20,Chennai,5300,2069,3231,0.3904,0.6096,0.3907
2025-01-27,Chennai,5367,2109,3258,0.393,0.607,0.3878
2025-02-03,Chennai,5380,2124,3256,0.3948,0.6052,0.3848
2025-02-10,Chennai,5453,2158,3295,0.3957,0.6043,0.3816
2025-02-17,Chennai,5422,2146,3276,0.3958,0.6042,0.3784
2025-02-24,Chennai,5403,2133,3270,0.3948,0.6052,0.3752
2025-03-03,Chennai,5396,2120,3276,0.3929,0.6071,0.3722
2025-03-10,Chennai,5324,2078,3246,0.3903,0.6097,0.3693
2025-03-17,Chennai,5279,2043,3236,0.387,0.613,0.3667
2025-03-24,Chennai,5278,2023,3255,0.3833,0.6167,0.3645
2025-03-31,Chennai,5275,2001,3274,0.3793,0.6207,0.3627
2025-04-07,Chennai,5281,1982,3299,0.3753,0.6247,0.3613
2025-04-14,Chennai,5293,1967,3326,0.3716,0.6284,0.3604
2025-04-21,Chennai,5320,1960,3360,0.3684,0.6316,0.36
2025-04-28,Chennai,5321,1946,3375,0.3657,0.6343,0.3601
2025-05-05,Chennai,5365,1952,3413,0.3638,0.6362,0.3608
2025-05-12,Chennai,5326,1933,3393,0.3629,0.6371,0.3619
2025-05-19,Chennai,5336,1936,3400,0.3628,0.6372,0.3635
2025-05-26,Chennai,5324,1937,3387,0.3638,0.6362,0.3656
2025-06-02,Chennai,5288,1934,3354,0.3657,0.6343,0.368
2025-06-09,Chennai,5240,1930,3310,0.3683,0.6317,0.3707
2025-06-16,Chennai,5223,1941,3282,0.3716,0.6284,0.3737
2025-06-23,Chennai,5256,1973,3283,0.3754,0.6246,0.3768
2024-01-01,Coimbatore,4813,1853,2960,0.385,0.615,0.3835
2024-01-08,Coimbatore,4833,1878,2955,0.3886,0.6114,0.3866
2024-01-15,Coimbatore,4835,1893,2942,0.3915,0.6085,0.3895
2024-01-22,Coimbatore,4898,1929,2969,0.3938,0.6062,0.3922
2024-01-29,Coimbatore,4879,1929,2950,0.3954,0.6046,0.3946
2024-02-05,Coimbatore,4880,1932,2948,0.3959,0.6041,0.3966
2024-02-12,Coimbatore,4879,1929,2950,0.3954,0.6046,0.3982
2024-02-19,Coimbatore,4846,1910,2936,0.3941,0.6059,0.3993
2024-02-26,Coimbatore,4816,1887,2929,0.3918,0.6082,0.3999
2024-03-04,Coimbatore,4811,1871,2940,0.3889,0.6111,0.4
2024-03-11,Coimbatore,4793,1847,2946,0.3854,0.6146,0.3995
2024-03-18,Coimbatore,4834,1844,2990,0.3815,0.6185,0.3986
2024-03-25,Coimbatore,4821,1820,3001,0.3775,0.6225,0.3972
2024-04-01,Coimbatore,4824,1802,3022,0.3735,0.6265,0.3953
2024-04-08,Coimbatore,4866,1801,3065,0.3701,0.6299,0.3931
2024-04-15,Coimbatore,4901,1799,3102,0.3671,0.6329,0.3905
2024-04-22,Coimbatore,4934,1800,3134,0.3648,0.6352,0.3876
2024-04-29,Coimbatore,4914,1785,3129,0.3632,0.6368,0.3845
2024-05-06,Coimbatore,4907,1780,3127,0.3627,0.6373,0.3813
2024-05-13,Coimbatore,4845,1760,3085,0.3633,0.6367,0.3781
2024-05-20,Coimbatore,4800,1750,3050,0.3646,0.6354,0.3749
2024-05-27,Coimbatore,4749,1742,3007,0.3668,0.6332,0.3719
2024-06-03,Coimbatore,4730,1749,2981,0.3698,0.6302,0.3691
2024-06-10,Coimbatore,4741,1770,2971,0.3733,0.6267,0.3665
2024-06-17,Coimbatore,4730,1784,2946,0.3772,0.6228,0.3643
2024-06-24,Coimbatore,4741,1807,2934,0.3811,0.6189,0.3625
2024-07-01,Coimbatore,4795,1846,2949,0.385,0.615,0.3612
2024-07-08,Coimbatore,4816,1871,2945,0.3885,0.6115,0.3604
2024-07-15,Coimbatore,4891,1915,2976,0.3915,0.6085,0.36
2024-07-22,Coimbatore,4880,1922,2958,0.3939,0.6061,0.3602
2024-07-29,Coimbatore,4905,1939,2966,0.3953,0.6047,0.3609
2024-08-05,Coimbatore,4923,1949,2974,0.3959,0.6041,0.3621
2024-08-12,Coimbatore,4918,1945,2973,0.3955,0.6045,0.3637
2024-08-19,Coimbatore,4893,1928,2965,0.394,0.606,0.3658
2024-08-26,Coimbatore,4852,1901,2951,0.3918,0.6082,0.3682
2024-09-02,Coimbatore,4787,1862,2925,0.389,0.611,0.371
2024-09-09,Coimbatore,4760,1834,2926,0.3853,0.6147,0.3739
2024-09-16,Coimbatore,4778,1823,2955,0.3815,0.6185,0.3771
2024-09-23,Coimbatore,4800,1812,2988,0.3775,0.6225,0.3803
2024-09-30,Coimbatore,4865,1818,3047,0.3737,0.6263,0.3835
2024-10-07,Coimbatore,4899,1813,3086,0.3701,0.6299,0.3866
2024-10-14,Coimbatore,4953,1818,3135,0.3671,0.6329,0.3895
2024-10-21,Coimbatore,4935,1800,3135,0.3647,0.6353,0.3922
2024-10-28,Coimbatore,4910,1784,3126,0.3633,0.6367,0.3946
2024-11-04,Coimbatore,4894,1775,3119,0.3627,0.6373,0.3966
2024-11-11,Coimbatore,4882,1773,3109,0.3632,0.6368,0.3982
2024-11-18,Coimbatore,4843,1766,3077,0.3647,0.6353,0.3993
2024-11-25,Coimbatore,4803,1762,3041,0.3669,0.6331,0.3999
2024-12-02,Coimbatore,4800,1775,3025,0.3698,0.6302,0.4
2024-12-09,Coimbatore,4769,1780,2989,0.3732,0.6268,0.3995
2024-12-16,Coimbatore,4807,1813,2994,0.3772,0.6228,0.3986
2024-12-23,Coimbatore,4836,1843,2993,0.3811,0.6189,0.3972
2024-12-30,Coimbatore,4873,1876,2997,0.385,0.615,0.3953
2025-01-06,Coimbatore,4887,1899,2988,0.3886,0.6114,0.3931
2025-01-13,Coimbatore,4940,1934,3006,0.3915,0.6085,0.3905
2025-01-20,Coimbatore,4982,1962,3020,0.3938,0.6062,0.3876
2025-01-27,Coimbatore,5031,1989,3042,0.3953,0.6047,0.3845
2025-02-03,Coimbatore,5025,1989,3036,0.3958,0.6042,0.3813
2025-02-10,Coimbatore,5045,1995,3050,0.3954,0.6046,0.3781
2025-02-17,Coimbatore,4960,1955,3005,0.3942,0.6058,0.3749
2025-02-24,Coimbatore,4933,1933,3000,0.3919,0.6081,0.3719
2025-03-03,Coimbatore,4953,1926,3027,0.3889,0.6111,0.3691
2025-03-10,Coimbatore,4930,1900,3030,0.3854,0.6146,0.3665
2025-03-17,Coimbatore,4907,1872,3035,0.3815,0.6185,0.3643
2025-03-24,Coimbatore,4944,1866,3078,0.3774,0.6226,0.3625
2025-03-31,Coimbatore,4938,1845,3093,0.3736,0.6264,0.3612
2025-04-07,Coimbatore,4936,1827,3109,0.3701,0.6299,0.3604
2025-04-14,Coimbatore,4962,1821,3141,0.367,0.633,0.36
2025-04-21,Coimbatore,4982,1817,3165,0.3647,0.6353,0.3602
2025-04-28,Coimbatore,4989,1812,3177,0.3632,0.6368,0.3609
2025-05-05,Coimbatore,4957,1798,3159,0.3627,0.6373,0.3621
2025-05-12,Coimbatore,4922,1788,3134,0.3633,0.6367,0.3637
2025-05-19,Coimbatore,4882,1780,3102,0.3646,0.6354,0.3658
2025-05-26,Coimbatore,4873,1787,3086,0.3667,0.6333,0.3682
2025-06-02,Coimbatore,4828,1785,3043,0.3697,0.6303,0.371
2025-06-09,Coimbatore,4809,1795,3014,0.3733,0.6267,0.3739
2025-06-16,Coimbatore,4810,1814,2996,0.3771,0.6229,0.3771
2025-06-23,Coimbatore,4833,1842,2991,0.3811,0.6189,0.3803
2024-01-01,Madurai,4529,1766,2763,0.3899,0.6101,0.3869
2024-01-08,Madurai,4521,1775,2746,0.3926,0.6074,0.3898
2024-01-15,Madurai,4589,1811,2778,0.3946,0.6054,0.3925
2024-01-22,Madurai,4615,1826,2789,0.3957,0.6043,0.3948
2024-01-29,Madurai,4598,1820,2778,0.3958,0.6042,0.3968
2024-02-05,Madurai,4626,1827,2799,0.3949,0.6051,0.3983
2024-02-12,Madurai,4631,1821,2810,0.3932,0.6068,0.3994
2024-02-19,Madurai,4567,1784,2783,0.3906,0.6094,0.3999
2024-02-26,Madurai,4569,1770,2799,0.3874,0.6126,0.4
2024-03-04,Madurai,4527,1737,2790,0.3837,0.6163,0.3995
2024-03-11,Madurai,4490,1705,2785,0.3797,0.6203,0.3985
2024-03-18,Madurai,4508,1694,2814,0.3758,0.6242,0.397
2024-03-25,Madurai,4498,1673,2825,0.3719,0.6281,0.3951
2024-04-01,Madurai,4483,1653,2830,0.3687,0.6313,0.3928
2024-04-08,Madurai,4495,1645,2850,0.366,0.634,0.3902
2024-04-15,Madurai,4508,1641,2867,0.364,0.636,0.3873
2024-04-22,Madurai,4522,1641,2881,0.3629,0.6371,0.3842
2024-04-29,Madurai,4504,1634,2870,0.3628,0.6372,0.3811
2024-05-06,Madurai,4501,1637,2864,0.3637,0.6363,0.3778
2024-05-13,Madurai,4487,1640,2847,0.3655,0.6345,0.3747
2024-05-20,Madurai,4459,1641,2818,0.368,0.632,0.3717
2024-05-27,Madurai,4434,1646,2788,0.3712,0.6288,0.3688
2024-06-03,Madurai,4358,1634,2724,0.3749,0.6251,0.3663
2024-06-10,Madurai,4371,1656,2715,0.3789,0.6211,0.3642
2024-06-17,Madurai,4370,1673,2697,0.3828,0.6172,0.3624
2024-06-24,Madurai,4373,1691,2682,0.3867,0.6133,0.3611
2024-07-01,Madurai,4425,1726,2699,0.3901,0.6099,0.3603
2024-07-08,Madurai,4444,1745,2699,0.3927,0.6073,0.36
2024-07-15,Madurai,4508,1779,2729,0.3946,0.6054,0.3602
2024-07-22,Madurai,4595,1818,2777,0.3956,0.6044,0.361
2024-07-29,Madurai,4646,1839,2807,0.3958,0.6042,0.3622
2024-08-05,Madurai,4639,1832,2807,0.3949,0.6051,0.3639
2024-08-12,Madurai,4596,1807,2789,0.3932,0.6068,0.366
2024-08-19,Madurai,4586,1791,2795,0.3905,0.6095,0.3684
2024-08-26,Madurai,4558,1766,2792,0.3875,0.6125,0.3712
2024-09-02,Madurai,4562,1750,2812,0.3836,0.6164,0.3742
2024-09-09,Madurai,4530,1720,2810,0.3797,0.6203,0.3773
2024-09-16,Madurai,4516,1697,2819,0.3758,0.6242,0.3806
2024-09-23,Madurai,4518,1681,2837,0.3721,0.6279,0.3838
2024-09-30,Madurai,4568,1684,2884,0.3687,0.6313,0.3869
2024-10-07,Madurai,4613,1688,2925,0.3659,0.6341,0.3898
2024-10-14,Madurai,4619,1681,2938,0.3639,0.6361,0.3925
2024-10-21,Madurai,4641,1684,2957,0.3629,0.6371,0.3948
2024-10-28,Madurai,4617,1675,2942,0.3628,0.6372,0.3968
2024-11-04,Madurai,4603,1674,2929,0.3637,0.6363,0.3983
2024-11-11,Madurai,4550,1663,2887,0.3655,0.6345,0.3994
2024-11-18,Madurai,4525,1665,2860,0.368,0.632,0.3999
2024-11-25,Madurai,4491,1667,2824,0.3712,0.6288,0.4
2024-12-02,Madurai,4481,1680,2801,0.3749,0.6251,0.3995
2024-12-09,Madurai,4474,1695,2779,0.3789,0.6211,0.3985
2024-12-16,Madurai,4479,1715,2764,0.3829,0.6171,0.397
2024-12-23,Madurai,4538,1755,2783,0.3867,0.6133,0.3951
2024-12-30,Madurai,4559,1778,2781,0.39,0.61,0.3928
2025-01-06,Madurai,4566,1793,2773,0.3927,0.6073,0.3902
2025-01-13,Madurai,4624,1825,2799,0.3947,0.6053,0.3873
2025-01-20,Madurai,4638,1835,2803,0.3956,0.6044,0.3842
2025-01-27,Madurai,4654,1842,2812,0.3958,0.6042,0.3811
2025-02-03,Madurai,4674,1846,2828,0.395,0.605,0.3778
2025-02-10,Madurai,4653,1829,2824,0.3931,0.6069,0.3747
2025-02-17,Madurai,4623,1806,2817,0.3907,0.6093,0.3717
2025-02-24,Madurai,4606,1784,2822,0.3873,0.6127,0.3688
2025-03-03,Madurai,4623,1774,2849,0.3837,0.6163,0.3663
2025-03-10,Madurai,4574,1737,2837,0.3798,0.6202,0.3642
2025-03-17,Madurai,4593,1726,2867,0.3758,0.6242,0.3624
2025-03-24,Madurai,4615,1717,2898,0.372,0.628,0.3611
2025-03-31,Madurai,4638,1710,2928,0.3687,0.6313,0.3603
2025-04-07,Madurai,4659,1705,2954,0.366,0.634,0.36
2025-04-14,Madurai,4637,1688,2949,0.364,0.636,0.3602
2025-04-21,Madurai,4643,1685,2958,0.3629,0.6371,0.361
2025-04-28,Madurai,4625,1678,2947,0.3628,0.6372,0.3622
2025-05-05,Madurai,4617,1679,2938,0.3637,0.6363,0.3639
2025-05-12,Madurai,4591,1678,2913,0.3655,0.6345,0.366
2025-05-19,Madurai,4537,1670,2867,0.3681,0.6319,0.3684
2025-05-26,Madurai,4490,1667,2823,0.3713,0.6287,0.3712
2025-06-02,Madurai,4459,1672,2787,0.375,0.625,0.3742
2025-06-09,Madurai,4497,1704,2793,0.3789,0.6211,0.3773
2025-06-16,Madurai,4547,1741,2806,0.3829,0.6171,0.3806
2025-06-23,Madurai,4602,1779,2823,0.3866,0.6134,0.3838
2024-01-01,Tiruchirappalli,4394,1730,2664,0.3937,0.6063,0.39
2024-01-08,Tiruchirappalli,4428,1750,2678,0.3952,0.6048,0.3927
2024-01-15,Tiruchirappalli,4426,1752,2674,0.3958,0.6042,0.395
2024-01-22,Tiruchirappalli,4442,1757,2685,0.3955,0.6045,0.3969
2024-01-29,Tiruchirappalli,4452,1755,2697,0.3942,0.6058,0.3984
2024-02-05,Tiruchirappalli,4481,1757,2724,0.3921,0.6079,0.3994
2024-02-12,Tiruchirappalli,4494,1749,2745,0.3892,0.6108,0.3999
2024-02-19,Tiruchirappalli,4475,1726,2749,0.3857,0.6143,0.3999
2024-02-26,Tiruchirappalli,4457,1702,2755,0.3819,0.6181,0.3994
2024-03-04,Tiruchirappalli,4439,1678,2761,0.378,0.622,0.3984
2024-03-11,Tiruchirappalli,4435,1659,2776,0.3741,0.6259,0.3969
2024-03-18,Tiruchirappalli,4425,1639,2786,0.3704,0.6296,0.395
2024-03-25,Tiruchirappalli,4407,1619,2788,0.3674,0.6326,0.3926
2024-04-01,Tiruchirappalli,4463,1629,2834,0.365,0.635,0.39
2024-04-08,Tiruchirappalli,4478,1627,2851,0.3633,0.6367,0.3871
2024-04-15,Tiruchirappalli,4430,1607,2823,0.3628,0.6372,0.384
2024-04-22,Tiruchirappalli,4417,1604,2813,0.3631,0.6369,0.3808
2024-04-29,Tiruchirappalli,4416,1609,2807,0.3644,0.6356,0.3776
2024-05-06,Tiruchirappalli,4377,1604,2773,0.3665,0.6335,0.3744
2024-05-13,Tiruchirappalli,4325,1598,2727,0.3695,0.6305,0.3714
2024-05-20,Tiruchirappalli,4265,1590,2675,0.3728,0.6272,0.3686
2024-05-27,Tiruchirappalli,4274,1610,2664,0.3767,0.6233,0.3661
2024-06-03,Tiruchirappalli,4228,1610,2618,0.3808,0.6192,0.364
2024-06-10,Tiruchirappalli,4269,1642,2627,0.3846,0.6154,0.3623
2024-06-17,Tiruchirappalli,4253,1651,2602,0.3882,0.6118,0.361
2024-06-24,Tiruchirappalli,4275,1673,2602,0.3913,0.6087,0.3603
2024-07-01,Tiruchirappalli,4338,1708,2630,0.3937,0.6063,0.36
2024-07-08,Tiruchirappalli,4396,1737,2659,0.3951,0.6049,0.3603
2024-07-15,Tiruchirappalli,4436,1756,2680,0.3959,0.6041,0.361
2024-07-22,Tiruchirappalli,4478,1771,2707,0.3955,0.6045,0.3623
2024-07-29,Tiruchirappalli,4500,1774,2726,0.3942,0.6058,0.364
2024-08-05,Tiruchirappalli,4496,1763,2733,0.3921,0.6079,0.3662
2024-08-12,Tiruchirappalli,4496,1750,2746,0.3892,0.6108,0.3687
2024-08-19,Tiruchirappalli,4491,1732,2759,0.3857,0.6143,0.3715
2024-08-26,Tiruchirappalli,4458,1703,2755,0.382,0.618,0.3745
2024-09-02,Tiruchirappalli,4414,1668,2746,0.3779,0.6221,0.3776
2024-09-09,Tiruchirappalli,4401,1646,2755,0.374,0.626,0.3808
2024-09-16,Tiruchirappalli,4376,1621,2755,0.3704,0.6296,0.384
2024-09-23,Tiruchirappalli,4405,1618,2787,0.3673,0.6327,0.3871
2024-09-30,Tiruchirappalli,4428,1616,2812,0.365,0.635,0.39
2024-10-07,Tiruchirappalli,4464,1622,2842,0.3634,0.6366,0.3927
2024-10-14,Tiruchirappalli,4452,1615,2837,0.3628,0.6372,0.395
2024-10-21,Tiruchirappalli,4478,1626,2852,0.3631,0.6369,0.3969
2024-10-28,Tiruchirappalli,4446,1620,2826,0.3644,0.6356,0.3984
2024-11-04,Tiruchirappalli,4406,1615,2791,0.3665,0.6335,0.3994
2024-11-11,Tiruchirappalli,4366,1613,2753,0.3694,0.6306,0.3999
2024-11-18,Tiruchirappalli,4329,1614,2715,0.3728,0.6272,0.3999
2024-11-25,Tiruchirappalli,4319,1627,2692,0.3767,0.6233,0.3994
2024-12-02,Tiruchirappalli,4337,1651,2686,0.3807,0.6193,0.3984
2024-12-09,Tiruchirappalli,4360,1677,2683,0.3846,0.6154,0.3969
2024-12-16,Tiruchirappalli,4384,1702,2682,0.3882,0.6118,0.395
2024-12-23,Tiruchirappalli,4465,1747,2718,0.3913,0.6087,0.3926
2024-12-30,Tiruchirappalli,4511,1776,2735,0.3937,0.6063,0.39
2025-01-06,Tiruchirappalli,4574,1808,2766,0.3953,0.6047,0.3871
2025-01-13,Tiruchirappalli,4588,1816,2772,0.3958,0.6042,0.384
2025-01-20,Tiruchirappalli,4588,1815,2773,0.3956,0.6044,0.3808
2025-01-27,Tiruchirappalli,4580,1806,2774,0.3943,0.6057,0.3776
2025-02-03,Tiruchirappalli,4596,1802,2794,0.3921,0.6079,0.3744
2025-02-10,Tiruchirappalli,4614,1796,2818,0.3893,0.6107,0.3714
2025-02-17,Tiruchirappalli,4572,1764,2808,0.3858,0.6142,0.3686
2025-02-24,Tiruchirappalli,4533,1731,2802,0.3819,0.6181,0.3661
2025-03-03,Tiruchirappalli,4515,1706,2809,0.3779,0.6221,0.364
2025-03-10,Tiruchirappalli,4510,1687,2823,0.3741,0.6259,0.3623
2025-03-17,Tiruchirappalli,4502,1668,2834,0.3705,0.6295,0.361
2025-03-24,Tiruchirappalli,4481,1646,2835,0.3673,0.6327,0.3603
2025-03-31,Tiruchirappalli,4475,1633,2842,0.3649,0.6351,0.36
