district,mae,rmse
Perambalur,27.27267074584961,33.064532442846705
Dharmapuri,38.39078140258789,47.282326594649774
Virudhunagar,40.04706573486328,56.59653672045667
Ariyalur,46.40370559692383,52.9140550023987
Ramanathapuram,47.24410629272461,52.3835273301338
Pudukkottai,47.31551742553711,59.602280868819314
Namakkal,50.46733856201172,60.404637362074695
Dindigul,51.70680618286133,67.51921746112362
Theni,53.92644500732422,64.95008600359972
Kanyakumari,56.56194305419922,64.18184386593494
Sivaganga,56.6439208984375,66.3176320469338
Karur,58.43333053588867,73.72425398062703
Madurai,63.58998489379883,73.31387533343364
Nagapattinam,63.85855484008789,73.10312506679348
Villupuram,64.88819885253906,74.54374895195774
Tiruvannamalai,64.92288970947266,77.02157964147938
Thoothukudi,65.8299560546875,78.95599607633514
Krishnagiri,67.96317291259766,85.10667995319903
Nilgiris,68.38431549072266,70.49277930110112
Cuddalore,68.94109344482422,79.80529590137644
Thanjavur,78.92704010009766,95.25661783932652
Erode,79.34246063232422,101.61116141940313
Tirunelveli,81.20697784423828,100.98839177567638
Tiruchirappalli,82.31996154785156,104.00138501932318
Vellore,87.5802001953125,105.08148345004699
Coimbatore,95.90276336669922,103.54808571232739
Tiruppur,96.31044006347656,122.53015811806291
Kanchipuram,109.58284759521484,135.37305227130693
Salem,114.08123016357422,128.7758090029917
Chennai,129.55465698242188,137.18105053176987
