date,district,enrol_total,age_0_5,age_5_17,age_18_greater,enrol_minor_ratio,enrol_adult_ratio
2024-01-01,Chennai,6267,702,1567,3998,0.3621,0.6379
2024-01-08,Chennai,6322,720,1578,4024,0.3635,0.6365
2024-01-15,Chennai,6349,735,1579,4035,0.3645,0.6355
2024-01-22,Chennai,6380,748,1577,4055,0.3644,0.6356
2024-01-29,Chennai,6389,758,1566,4065,0.3638,0.6362
2024-02-05,Chennai,6384,763,1551,4070,0.3625,0.6375
2024-02-12,Chennai,6417,770,1545,4102,0.3608,0.6392
2024-02-19,Chennai,6365,763,1521,4081,0.3588,0.6412
2024-02-26,Chennai,6334,757,1503,4074,0.3568,0.6432
2024-03-04,Chennai,6265,743,1481,4041,0.355,0.645
2024-03-11,Chennai,6270,735,1480,4055,0.3533,0.6467
2024-03-18,Chennai,6266,725,1481,4060,0.3521,0.6479
2024-03-25,Chennai,6295,717,1494,4084,0.3512,0.6488
2024-04-01,Chennai,6269,702,1498,4069,0.3509,0.6491
2024-04-08,Chennai,6284,692,1513,4079,0.3509,0.6491
2024-04-15,Chennai,6359,689,1545,4125,0.3513,0.6487
2024-04-22,Chennai,6401,683,1569,4149,0.3518,0.6482
2024-04-29,Chennai,6401,675,1582,4144,0.3526,0.6474
2024-05-06,Chennai,6414,670,1595,4149,0.3531,0.6469
2024-05-13,Chennai,6342,660,1583,4099,0.3537,0.6463
2024-05-20,Chennai,6333,659,1583,4091,0.354,0.646
2024-05-27,Chennai,6276,656,1567,4053,0.3542,0.6458
2024-06-03,Chennai,6192,653,1540,3999,0.3542,0.6458
2024-06-10,Chennai,6123,653,1513,3957,0.3537,0.6463
2024-06-17,Chennai,6085,659,1492,3934,0.3535,0.6465
2024-06-24,Chennai,6161,678,1497,3986,0.353,0.647
2024-07-01,Chennai,6183,693,1489,4001,0.3529,0.6471
2024-07-08,Chennai,6332,721,1513,4098,0.3528,0.6472
2024-07-15,Chennai,6366,737,1511,4118,0.3531,0.6469
2024-07-22,Chennai,6430,754,1520,4156,0.3537,0.6463
2024-07-29,Chennai,6474,768,1528,4178,0.3546,0.6454
2024-08-05,Chennai,6508,778,1538,4192,0.3559,0.6441
2024-08-12,Chennai,6469,776,1535,4158,0.3572,0.6428
2024-08-19,Chennai,6430,771,1536,4123,0.3588,0.6412
2024-08-26,Chennai,6377,762,1536,4079,0.3604,0.6396
2024-09-02,Chennai,6345,752,1542,4051,0.3615,0.6385
2024-09-09,Chennai,6290,738,1542,4010,0.3625,0.6375
2024-09-16,Chennai,6243,722,1543,3978,0.3628,0.6372
2024-09-23,Chennai,6262,713,1557,3992,0.3625,0.6375
2024-09-30,Chennai,6333,709,1581,4043,0.3616,0.6384
2024-10-07,Chennai,6379,702,1595,4082,0.3601,0.6399
2024-10-14,Chennai,6366,689,1589,4088,0.3578,0.6422
2024-10-21,Chennai,6375,680,1585,4110,0.3553,0.6447
2024-10-28,Chennai,6383,673,1577,4133,0.3525,0.6475
2024-11-04,Chennai,6377,667,1563,4147,0.3497,0.6503
2024-11-11,Chennai,6345,660,1542,4143,0.347,0.653
