district,mae,rmse
Dindigul,39.38064956665039,49.543122591271434
Dharmapuri,47.55217742919922,54.4802456672944
Thanjavur,48.40481948852539,53.92415463523744
Krishnagiri,49.50331497192383,56.94820366254431
Salem,50.25020980834961,62.95348372632964
Tiruppur,51.831787109375,69.14454614587292
Nagapattinam,58.20926284790039,72.32228015647219
Cuddalore,58.264892578125,66.73657914587584
Pudukkottai,60.615478515625,70.09175417912046
Tiruvannamalai,62.09137725830078,72.94733692770251
Villupuram,65.23799896240234,72.82527717828302
Karur,66.23040008544922,79.80443320138143
Perambalur,71.61070251464844,83.86955086621127
Namakkal,73.96208953857422,85.24412896755706
Tirunelveli,77.56871032714844,90.0202912238749
Kanyakumari,78.281005859375,92.52119161812335
Kanchipuram,81.40959930419922,95.26101068249277
Ariyalur,81.43443298339844,90.25146618441997
Tiruchirappalli,81.77336883544922,90.29769288217584
Chennai,85.94691467285156,100.87572122573647
Thoothukudi,86.03229522705078,97.50049078402118
Erode,86.44258880615234,99.43386621267425
Ramanathapuram,87.32808685302734,102.25261209224682
Theni,90.65293884277344,100.11303182216089
Vellore,90.92780303955078,119.05354707152786
Nilgiris,91.85276794433594,106.3366833899525
Madurai,94.83980560302734,108.92640595403164
Sivaganga,95.25041961669922,105.23116759217537
Coimbatore,102.6845703125,122.08052782257087
Virudhunagar,122.98455047607422,138.69808291077783
