,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kanchipuram,Kanyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thoothukudi,Tiruchirappalli,Tirunelveli,Tiruppur,Tiruvannamalai,Vellore,Villupuram,Virudhunagar
Ariyalur,0.0,0.70958894,0.53261495,0.6650497,0.7192025,0.6262124,0.6252722,0.5712379,0.34028068,0.65746075,0.6586349,0.64302015,0.670086,0.6654569,0.4947754,0.6979512,0.67251235,0.57414716,0.8597794,0.61747026,0.6945293,0.57641196,0.4726598,0.6882942,0.43430868,0.58261836,0.6500887,0.5745943,0.6658319,0.5585076
Chennai,0.70958894,0.0,0.2777975,0.79666644,0.74478805,0.32160333,0.39306882,0.86561716,0.0947347,0.3961432,0.71827334,0.4744184,0.4961161,0.4325606,0.2728139,0.50327927,0.3912866,0.26261678,0.69275016,0.30093762,0.4672498,0.2835874,0.17025208,0.43416193,0.1442974,0.327745,0.6136627,0.6464829,0.62225616,0.23727618
Coimbatore,0.53261495,0.2777975,0.0,0.42135456,0.5944915,0.8655304,0.7966622,0.36236075,0.40233943,0.64862543,0.5540453,0.5991664,0.6106968,0.86957574,0.6909307,0.7975861,0.73003805,0.63946193,0.6264424,0.64563024,0.6639576,0.67618513,0.4755507,0.83769983,0.48899007,0.7255184,0.48849994,0.42124888,0.45100158,0.5801798
Cuddalore,0.6650497,0.79666644,0.42135456,0.0,0.8613684,0.5120821,0.5398681,0.846898,0.22576936,0.6431104,0.83622247,0.6877834,0.65904474,0.5902371,0.3945158,0.6567553,0.59021145,0.4676803,0.63832664,0.5060501,0.64568806,0.49422136,0.34760198,0.6165989,0.30639276,0.4948479,0.7033657,0.6481412,0.6953532,0.42991167
Dharmapuri,0.7192025,0.74478805,0.5944915,0.8613684,0.0,0.5750767,0.66591775,0.75576043,0.24839225,0.6426802,0.9710909,0.7289335,0.5258429,0.6648911,0.5956039,0.64509934,0.56357074,0.42349997,0.7653416,0.5036103,0.59068733,0.5969644,0.35293347,0.6155208,0.33708543,0.6301193,0.7008144,0.6363632,0.6277796,0.46773747
Dindigul,0.6262124,0.32160333,0.8655304,0.5120821,0.5750767,0.0,0.8074617,0.39920297,0.50264865,0.68410563,0.5221882,0.78112185,0.5610724,0.8082964,0.59267986,0.83707047,0.8355763,0.6288556,0.66409284,0.67835337,0.63758,0.8868968,0.6021414,0.8819405,0.5907142,0.7650999,0.5241043,0.42994457,0.5219068,0.6746794
Erode,0.6252722,0.39306882,0.7966622,0.5398681,0.66591775,0.8074617,0.0,0.48168212,0.36268857,0.68862337,0.6331529,0.6130063,0.6258756,0.7149554,0.85225224,0.8570571,0.6150293,0.5095357,0.6881881,0.5893187,0.714154,0.756371,0.46584293,0.7849381,0.57575023,0.8928919,0.6988065,0.53266925,0.76348823,0.65806806
Kanchipuram,0.5712379,0.86561716,0.36236075,0.846898,0.75576043,0.39920297,0.48168212,0.0,0.12986359,0.55847305,0.73480636,0.5310609,0.53520507,0.51624364,0.35801986,0.57194215,0.5536726,0.31647778,0.6509926,0.3666061,0.5286135,0.31568754,0.2193317,0.5065996,0.19195455,0.4154018,0.6678257,0.87180406,0.66376346,0.30196872
Kanyakumari,0.34028068,0.0947347,0.40233943,0.22576936,0.24839225,0.50264865,0.36268857,0.12986359,0.0,0.47241038,0.20153807,0.5561127,0.48800337,0.37215883,0.42639408,0.340471,0.45779264,0.73140293,0.31038162,0.7717498,0.5873157,0.55671006,0.94838214,0.41103786,0.93205285,0.396432,0.4117689,0.20228425,0.3082418,0.7810206
Karur,0.65746075,0.3961432,0.64862543,0.6431104,0.6426802,0.68410563,0.68862337,0.55847305,0.47241038,0.0,0.6011539,0.6552921,0.6494198,0.6967238,0.7739029,0.6703051,0.7113772,0.57694983,0.6788092,0.77566254,0.7193616,0.6475252,0.59410816,0.7451082,0.64101046,0.74421966,0.6883194,0.6840285,0.7421571,0.7898131
Krishnagiri,0.6586349,0.71827334,0.5540453,0.83622247,0.9710909,0.5221882,0.6331529,0.73480636,0.20153807,0.6011539,0.0,0.65982854,0.49261558,0.6301569,0.5645526,0.61432445,0.51482266,0.3684397,0.6684126,0.44745797,0.55150634,0.5708416,0.2975407,0.57311964,0.28236508,0.6372769,0.7225004,0.658778,0.6211107,0.44283924
Madurai,0.64302015,0.4744184,0.5991664,0.6877834,0.7289335,0.78112185,0.6130063,0.5310609,0.5561127,0.6552921,0.65982854,0.0,0.5592829,0.6311501,0.5416267,0.6084177,0.7450036,0.6644562,0.65251625,0.6942028,0.62745064,0.9057468,0.64752686,0.65544426,0.63324994,0.7023029,0.47693038,0.3774199,0.48575616,0.6939064
Nagapattinam,0.670086,0.4961161,0.6106968,0.65904474,0.5258429,0.5610724,0.6258756,0.53520507,0.48800337,0.6494198,0.49261558,0.5592829,0.0,0.7638946,0.4885037,0.8484546,0.6507747,0.8429132,0.560316,0.86300206,0.96818256,0.48088846,0.59254795,0.77596587,0.6082019,0.47547263,0.6704082,0.5488255,0.75087273,0.6300841
Namakkal,0.6654569,0.4325606,0.86957574,0.5902371,0.6648911,0.8082964,0.7149554,0.51624364,0.37215883,0.6967238,0.6301569,0.6311501,0.7638946,0.0,0.6130489,0.865076,0.79027843,0.7483404,0.6916134,0.7439028,0.8133088,0.62094486,0.48793125,0.86361825,0.46993122,0.67090267,0.6256037,0.653072,0.6099836,0.5919157
Nilgiris,0.4947754,0.2728139,0.6909307,0.3945158,0.5956039,0.59267986,0.85225224,0.35801986,0.42639408,0.7739029,0.5645526,0.5416267,0.4885037,0.6130489,0.0,0.6508419,0.49963254,0.4090844,0.6139961,0.6073243,0.6194383,0.65285736,0.5254026,0.59258187,0.6358949,0.9195382,0.63407,0.42518893,0.72968614,0.72135925
Perambalur,0.6979512,0.50327927,0.7975861,0.6567553,0.64509934,0.83707047,0.8570571,0.57194215,0.340471,0.6703051,0.61432445,0.6084177,0.8484546,0.865076,0.6508419,0.0,0.69554484,0.68749285,0.67004246,0.7093943,0.8797782,0.65665054,0.4699677,0.8716912,0.5316473,0.7501015,0.65632564,0.5837845,0.7899174,0.6021238
Pudukkottai,0.67251235,0.3912866,0.73003805,0.59021145,0.56357074,0.8355763,0.6150293,0.5536726,0.45779264,0.7113772,0.51482266,0.7450036,0.6507747,0.79027843,0.49963254,0.69554484,0.0,0.673336,0.7108629,0.6830418,0.6884073,0.6654064,0.5833103,0.9322826,0.547377,0.59283847,0.5635706,0.5360448,0.58540326,0.64363045
Ramanathapuram,0.57414716,0.26261678,0.63946193,0.4676803,0.42349997,0.6288556,0.5095357,0.31647778,0.73140293,0.57694983,0.3684397,0.6644562,0.8429132,0.7483404,0.4090844,0.68749285,0.673336,0.0,0.4904033,0.9375723,0.8616259,0.60841036,0.7736156,0.6856688,0.75374055,0.50474626,0.44198155,0.41955554,0.45254406,0.6648416
Salem,0.8597794,0.69275016,0.6264424,0.63832664,0.7653416,0.66409284,0.6881881,0.6509926,0.31038162,0.6788092,0.6684126,0.65251625,0.560316,0.6916134,0.6139961,0.67004246,0.7108629,0.4904033,0.0,0.5672873,0.6292938,0.57524663,0.42261848,0.65613186,0.4057071,0.660264,0.6518649,0.59858906,0.6250078,0.5352477
Sivaganga,0.61747026,0.30093762,0.64563024,0.5060501,0.5036103,0.67835337,0.5893187,0.3666061,0.7717498,0.77566254,0.44745797,0.6942028,0.86300206,0.7439028,0.6073243,0.7093943,0.6830418,0.9375723,0.5672873,0.0,0.91787803,0.6574988,0.84561443,0.70307624,0.84730726,0.58607066,0.5940978,0.50334936,0.6111736,0.827378
Thanjavur,0.6945293,0.4672498,0.6639576,0.64568806,0.59068733,0.63758,0.714154,0.5286135,0.5873157,0.7193616,0.55150634,0.62745064,0.96818256,0.8133088,0.6194383,0.8797782,0.6884073,0.8616259,0.6292938,0.91787803,0.0,0.5698858,0.7019417,0.7658971,0.71415335,0.5924481,0.7309606,0.5691283,0.78244424,0.7338161
Theni,0.57641196,0.2835874,0.67618513,0.49422136,0.5969644,0.8868968,0.756371,0.31568754,0.55671006,0.6475252,0.5708416,0.9057468,0.48088846,0.62094486,0.65285736,0.65665054,0.6654064,0.60841036,0.57524663,0.6574988,0.5698858,0.0,0.6237956,0.6914964,0.63045436,0.85910356,0.44211635,0.35078365,0.4889475,0.6827037
Thoothukudi,0.4726598,0.17025208,0.4755507,0.34760198,0.35293347,0.6021414,0.46584293,0.2193317,0.94838214,0.59410816,0.2975407,0.64752686,0.59254795,0.48793125,0.5254026,0.4699677,0.5833103,0.7736156,0.42261848,0.84561443,0.7019417,0.6237956,0.0,0.5382108,0.9476961,0.48523068,0.5009234,0.29586536,0.45777726,0.8925903
Tiruchirappalli,0.6882942,0.43416193,0.83769983,0.6165989,0.6155208,0.8819405,0.7849381,0.5065996,0.41103786,0.7451082,0.57311964,0.65544426,0.77596587,0.86361825,0.59258187,0.8716912,0.9322826,0.6856688,0.65613186,0.70307624,0.7658971,0.6914964,0.5382108,0.0,0.5065021,0.7262754,0.6099071,0.52167946,0.67457765,0.6196134
Tirunelveli,0.43430868,0.1442974,0.48899007,0.30639276,0.33708543,0.5907142,0.57575023,0.19195455,0.93205285,0.64101046,0.28236508,0.63324994,0.6082019,0.46993122,0.6358949,0.5316473,0.547377,0.75374055,0.4057071,0.84730726,0.71415335,0.63045436,0.9476961,0.5065021,0.0,0.56618136,0.511987,0.23595332,0.51604354,0.91352975
