,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kanchipuram,Kanyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thoothukudi,Tiruchirappalli,Tirunelveli,Tiruppur,Tiruvannamalai,Vellore,Villupuram,Virudhunagar
Ariyalur,0.0,0.72602373,0.7608785,0.950071,0.89395046,0.8945892,0.893246,0.81605417,0.48611525,0.93922967,0.84863377,0.86315715,0.95726573,0.9506527,0.70682204,0.9970731,0.9607319,0.8202103,0.9331641,0.8821004,0.9921847,0.7905005,0.6752283,0.9832774,0.62044096,0.8323119,0.9286982,0.82084906,0.95118845,0.7978681
Chennai,0.72602373,0.0,0.39685357,0.88153476,0.7234536,0.45943335,0.5615269,0.9771648,0.13533528,0.56591886,0.76022923,0.40742713,0.7087373,0.6179437,0.38973412,0.71897036,0.5589809,0.37516683,0.67293304,0.4299109,0.6674997,0.3473193,0.24321726,0.62023133,0.20613916,0.46820712,0.876661,0.923547,0.8889374,0.33896598
Coimbatore,0.7608785,0.39685357,0.0,0.6019351,0.84927356,0.9137594,0.95865864,0.51765823,0.5747706,0.9266078,0.79149336,0.85595196,0.6019329,0.912909,0.9870439,0.7976831,0.79010785,0.67926145,0.8949177,0.79810214,0.74701935,0.9233878,0.6793582,0.83125615,0.69855726,0.9908003,0.6978571,0.6017841,0.644288,0.8288283
Cuddalore,0.950071,0.88153476,0.6019351,0.0,0.84917873,0.73154587,0.7712402,0.9283804,0.32252765,0.81068724,0.8338548,0.6909432,0.9414925,0.84319586,0.56359404,0.93822193,0.8431592,0.6681147,0.85453,0.72292876,0.92241156,0.6040387,0.49657425,0.88085556,0.43770394,0.6839219,0.9578064,0.8965376,0.9933617,0.6141595
Dharmapuri,0.89395046,0.7234536,0.84927356,0.84917873,0.0,0.82153815,0.9513111,0.84037495,0.3548461,0.9181146,0.99044275,0.7402325,0.75120413,0.9498445,0.8508627,0.9215705,0.80510104,0.60499996,0.9863638,0.7194433,0.84383905,0.73559475,0.5041907,0.87931544,0.48155063,0.90017045,0.9507819,0.90909034,0.896828,0.6681964
Dindigul,0.8945892,0.45943335,0.9137594,0.73154587,0.82153815,0.0,0.9385422,0.57028997,0.71806955,0.9772938,0.7459831,0.98740053,0.80153203,0.95300394,0.8466855,0.908219,0.9578965,0.89836514,0.89876336,0.9690762,0.91082853,0.9774237,0.86020195,0.95871603,0.8438775,0.9419713,0.74872047,0.61420655,0.74558115,0.9638277
Erode,0.893246,0.5615269,0.95865864,0.7712402,0.9513111,0.9385422,0.0,0.6881173,0.51812655,0.9837477,0.9045041,0.8757233,0.747893,0.98747027,0.93771845,0.9223532,0.8786133,0.7279081,0.9831258,0.8418839,0.86988515,0.89262754,0.6654899,0.92804945,0.65513515,0.9875938,0.8541931,0.7609561,0.81091267,0.82417893
Kanchipuram,0.81605417,0.9771648,0.51765823,0.9283804,0.84037495,0.57028997,0.6881173,0.0,0.18551943,0.68499196,0.86970353,0.5075293,0.76457864,0.73749095,0.51145697,0.81706023,0.65456027,0.45211112,0.7935017,0.523723,0.7551622,0.45098218,0.313331,0.7237137,0.2742208,0.5934311,0.9540367,0.9803094,0.94823354,0.4313839
Kanyakumari,0.48611525,0.13533528,0.5747706,0.32252765,0.3548461,0.71806955,0.51812655,0.18551943,0.0,0.5894668,0.28791153,0.7944467,0.46384016,0.5316555,0.4850034,0.48638713,0.6539895,0.8140806,0.44340232,0.78234667,0.5444975,0.7953001,0.9484902,0.58719695,0.973555,0.56633145,0.29939207,0.20154409,0.3162145,0.8607234
Karur,0.93922967,0.56591886,0.9266078,0.81068724,0.9181146,0.9772938,0.9837477,0.68499196,0.5894668,0.0,0.85879135,0.93613154,0.8264545,0.9953198,0.88053274,0.95757866,0.94722927,0.8242141,0.9697275,0.9173155,0.93233716,0.925036,0.7503035,0.9759029,0.727899,0.966017,0.85253084,0.73683596,0.83518153,0.8891887
Krishnagiri,0.84863377,0.76022923,0.79149336,0.8338548,0.99044275,0.7459831,0.9045041,0.86970353,0.28791153,0.85879135,0.0,0.6588359,0.70373654,0.90022415,0.8065038,0.8776064,0.735461,0.52634245,0.9548752,0.63922566,0.7878662,0.6547785,0.42505816,0.81874233,0.4033787,0.84445596,0.9515268,0.94111145,0.88730097,0.5844453
Madurai,0.86315715,0.40742713,0.85595196,0.6909432,0.7402325,0.98740053,0.8757233,0.5075293,0.7944467,0.93613154,0.6588359,0.0,0.7989756,0.90164304,0.77375245,0.8691681,0.95840263,0.9492231,0.83027923,0.9917183,0.8963581,0.97493184,0.9250384,0.936349,0.90464276,0.8838858,0.68132913,0.5391713,0.69393736,0.9912949
Nagapattinam,0.95726573,0.7087373,0.6019329,0.9414925,0.75120413,0.80153203,0.747893,0.76457864,0.46384016,0.8264545,0.70373654,0.7989756,0.0,0.8335486,0.53657705,0.9331168,0.9296782,0.8335645,0.8004515,0.8473636,0.9705652,0.6869835,0.6582979,0.92261094,0.5832204,0.6792466,0.84470516,0.7271977,0.91138995,0.7389808
Namakkal,0.9506527,0.6179437,0.912909,0.84319586,0.9498445,0.95300394,0.98747027,0.73749095,0.5316555,0.9953198,0.90022415,0.90164304,0.8335486,0.0,0.87578416,0.9699081,0.9328206,0.7858695,0.9880191,0.8847155,0.933683,0.8870641,0.6970447,0.9724844,0.67133033,0.95843244,0.89371955,0.7903581,0.8714052,0.84559387
Nilgiris,0.70682204,0.38973412,0.9870439,0.56359404,0.8508627,0.8466855,0.93771845,0.51145697,0.4850034,0.88053274,0.8065038,0.77375245,0.53657705,0.87578416,0.0,0.7488335,0.7137608,0.5844063,0.87713724,0.7106485,0.68123996,0.8549196,0.5822771,0.7687847,0.60463965,0.9704734,0.68292636,0.60741276,0.61383736,0.74101436
Perambalur,0.9970731,0.71897036,0.7976831,0.93822193,0.9215705,0.908219,0.9223532,0.81706023,0.48638713,0.95757866,0.8776064,0.8691681,0.9331168,0.9699081,0.7488335,0.0,0.95583296,0.8062991,0.9572035,0.87969494,0.9839725,0.809246,0.6713824,0.9858644,0.62288654,0.86540717,0.93760806,0.8339779,0.94751287,0.8035352
Pudukkottai,0.9607319,0.5589809,0.79010785,0.8431592,0.80510104,0.9578965,0.8786133,0.65456027,0.6539895,0.94722927,0.735461,0.95840263,0.9296782,0.9328206,0.7137608,0.95583296,0.0,0.93846035,0.8788872,0.975774,0.983439,0.888717,0.8333005,0.9885804,0.7819671,0.84691215,0.80510086,0.6654058,0.8362904,0.91947204
Ramanathapuram,0.8202103,0.37516683,0.67926145,0.6681147,0.60499996,0.89836514,0.7279081,0.45211112,0.8140806,0.8242141,0.52634245,0.9492231,0.8335645,0.7858695,0.5844063,0.8062991,0.93846035,0.0,0.7005761,0.97754365,0.8775448,0.8691577,0.94997114,0.88074523,0.89884657,0.72106606,0.5993022,0.4542422,0.6464915,0.9497737
Salem,0.9331641,0.67293304,0.8949177,0.85453,0.9863638,0.89876336,0.9831258,0.7935017,0.44340232,0.9697275,0.9548752,0.83027923,0.8004515,0.9880191,0.87713724,0.9572035,0.8788872,0.7005761,0.0,0.81041044,0.89899117,0.8217809,0.6037407,0.93733126,0.57958156,0.9432343,0.93123555,0.8551272,0.8928683,0.76463956
Sivaganga,0.8821004,0.4299109,0.79810214,0.72292876,0.7194433,0.9690762,0.8418839,0.523723,0.78234667,0.9173155,0.63922566,0.9917183,0.8473636,0.8847155,0.7106485,0.87969494,0.975774,0.97754365,0.81041044,0.0,0.9217,0.93928397,0.92800736,0.9440022,0.8911853,0.8372438,0.6883202,0.542298,0.7161475,0.9794783
Thanjavur,0.9921847,0.6674997,0.74701935,0.92241156,0.84383905,0.91082853,0.86988515,0.7551622,0.5444975,0.93233716,0.7878662,0.8963581,0.9705652,0.933683,0.68123996,0.9839725,0.983439,0.8775448,0.89899117,0.9217,0.0,0.81412256,0.73626095,0.98775786,0.67666787,0.81630194,0.8786226,0.7538991,0.9141057,0.8398907
Theni,0.7905005,0.3473193,0.9233878,0.6040387,0.73559475,0.9774237,0.89262754,0.45098218,0.7953001,0.925036,0.6547785,0.97493184,0.6869835,0.8870641,0.8549196,0.809246,0.888717,0.8691577,0.8217809,0.93928397,0.81412256,0.0,0.8911366,0.88079894,0.9006491,0.92656636,0.6315948,0.5011195,0.6207627,0.975291
Thoothukudi,0.6752283,0.24321726,0.6793582,0.49657425,0.5041907,0.86020195,0.6654899,0.313331,0.9484902,0.7503035,0.42505816,0.9250384,0.6582979,0.6970447,0.5822771,0.6713824,0.8333005,0.94997114,0.6037407,0.92800736,0.73626095,0.8911366,0.0,0.7688726,0.9883095,0.6931867,0.45790505,0.32916152,0.4856695,0.9612159
Tiruchirappalli,0.9832774,0.62023133,0.83125615,0.88085556,0.87931544,0.95871603,0.92804945,0.7237137,0.58719695,0.9759029,0.81874233,0.936349,0.92261094,0.9724844,0.7687847,0.9858644,0.9885804,0.88074523,0.93733126,0.9440022,0.98775786,0.88079894,0.7688726,0.0,0.72357446,0.8896717,0.87129587,0.74525636,0.88592154,0.88516206
Tirunelveli,0.62044096,0.20613916,0.69855726,0.43770394,0.48155063,0.8438775,0.65513515,0.2742208,0.973555,0.727899,0.4033787,0.90464276,0.5832204,0.67133033,0.60463965,0.62288654,0.7819671,0.89884657,0.57958156,0.8911853,0.67666787,0.9006491,0.9883095,0.72357446,0.0,0.6980869,0.41659215,0.2965684,0.43342343,0.95117116
Tiruppur,0.8323119,0.46820712,0.9908003,0.6839219,0.90017045,0.9419713,0.9875938,0.5934311,0.56633145,0.966017,0.84445596,0.8838858,0.6792466,0.95843244,0.9704734,0.86540717,0.84691215,0.72106606,0.9432343,0.8372438,0.81630194,0.92656636,0.6931867,0.8896717,0.6980869,0.0,0.77209884,0.67263275,0.72446966,0.84637135
Tiruvannamalai,0.9286982,0.876661,0.6978571,0.9578064,0.9507819,0.74872047,0.8541931,0.9540367,0.29939207,0.85253084,0.9515268,0.68132913,0.84470516,0.89371955,0.68292636,0.93760806,0.80510086,0.5993022,0.93123555,0.6883202,0.8786226,0.6315948,0.45790505,0.87129587,0.41659215,0.77209884,0.0,0.970583,0.9842447,0.60161626
Vellore,0.82084906,0.923547,0.6017841,0.8965376,0.90909034,0.61420655,0.7609561,0.9803094,0.20154409,0.73683596,0.94111145,0.5391713,0.7271977,0.7903581,0.60741276,0.8339779,0.6654058,0.4542422,0.8551272,0.542298,0.7538991,0.5011195,0.32916152,0.74525636,0.2965684,0.67263275,0.970583,0.0,0.9346089,0.46189776
Villupuram,0.95118845,0.8889374,0.644288,0.9933617,0.896828,0.74558115,0.81091267,0.94823354,0.3162145,0.83518153,0.88730097,0.69393736,0.91138995,0.8714052,0.61383736,0.94751287,0.8362904,0.6464915,0.8928683,0.7161475,0.9141057,0.6207627,0.4856695,0.88592154,0.43342343,0.72446966,0.9842447,0.9346089,0.0,0.61517495
Virudhunagar,0.7978681,0.33896598,0.8288283,0.6141595,0.6681964,0.9638277,0.82417893,0.4313839,0.8607234,0.8891887,0.5844453,0.9912949,0.7389808,0.84559387,0.74101436,0.8035352,0.91947204,0.9497737,0.76463956,0.9794783,0.8398907,0.975291,0.9612159,0.88516206,0.95117116,0.84637135,0.60161626,0.46189776,0.61517495,0.0
