,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kanchipuram,Kanyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thoothukudi,Tiruchirappalli,Tirunelveli,Tiruppur,Tiruvannamalai,Vellore,Villupuram,Virudhunagar
Ariyalur,0.0,0.6712411,0.0,0.0,0.31145722,0.0,0.0,0.0,0.0,0.0,0.21530421,0.12936708,0.0,0.0,0.0,0.0,0.0,0.0,0.6885484,0.0,0.0,0.0768721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai,0.6712411,0.0,0.0,0.59864044,0.79456854,0.0,0.0,0.60533947,0.0,0.0,0.6203762,0.6307313,0.0,0.0,0.0,0.0,0.0,0.0,0.73899,0.0,0.0,0.13487954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coimbatore,0.0,0.0,0.0,0.0,0.0,0.752996,0.4186705,0.0,0.0,0.0,0.0,0.0,0.63114583,0.76846474,0.0,0.79735976,0.58987516,0.5465964,0.0,0.28986263,0.47014683,0.09937889,0.0,0.852735,0.0,0.10652725,0.0,0.0,0.0,0.0
Cuddalore,0.0,0.59864044,0.0,0.0,0.8898111,0.0,0.0,0.6567724,0.0,0.25209785,0.84174705,0.6804107,0.0,0.0,0.0,0.0,0.0,0.0,0.13385208,0.0,0.0,0.2379809,0.0,0.0,0.0,0.053675324,0.109670654,0.06854963,0.0,0.0
Dharmapuri,0.31145722,0.79456854,0.0,0.8898111,0.0,0.0,0.0,0.5583266,0.0,0.0,0.9259365,0.7025691,0.0,0.0,0.0,0.0,0.0,0.0,0.24962313,0.0,0.0,0.2734938,0.0,0.0,0.0,0.0,0.117557086,0.0,0.0,0.0
Dindigul,0.0,0.0,0.752996,0.0,0.0,0.0,0.50160724,0.0,0.0,0.0,0.0,0.29980496,0.0,0.47064546,0.0,0.67105734,0.5501626,0.0,0.11652826,0.0,0.0,0.67566735,0.0,0.70279765,0.0,0.35239992,0.0,0.0,0.0,0.0
Erode,0.0,0.0,0.4186705,0.0,0.0,0.50160724,0.0,0.0,0.0,0.0,0.0,0.0,0.3411685,0.079087466,0.6528312,0.70469946,0.0,0.0,0.0,0.0,0.35078117,0.43843928,0.0,0.45101154,0.39051875,0.67192066,0.33623803,0.0,0.6528312,0.27047613
Kanchipuram,0.0,0.60533947,0.0,0.6567724,0.5583266,0.0,0.0,0.0,0.0,0.26326236,0.4200463,0.5859679,0.0,0.0,0.0,0.0,0.31826818,0.0,0.3184714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6186248,0.0,0.0
Kanyakumari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19927868,0.0,0.0,0.54438424,0.0,0.2896389,0.0,0.0,0.53848845,0.0,0.74702376,0.6872246,0.0,0.94812995,0.0,0.8352144,0.0,0.6739815,0.20401129,0.2896389,0.5950475
Karur,0.0,0.0,0.0,0.25209785,0.0,0.0,0.0,0.26326236,0.19927868,0.0,0.0,0.0,0.23633873,0.0,0.52509993,0.0,0.16105564,0.0,0.0,0.445139,0.22241876,0.0,0.22965227,0.20658712,0.43827054,0.22669265,0.30515933,0.56081104,0.52509993,0.55793667
Krishnagiri,0.21530421,0.6203762,0.0,0.84174705,0.9259365,0.0,0.0,0.4200463,0.0,0.0,0.0,0.6621447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749889,0.0,0.0,0.0,0.15385906,0.18810533,0.0,0.0,0.11242512
Madurai,0.12936708,0.6307313,0.0,0.6804107,0.7025691,0.29980496,0.0,0.5859679,0.0,0.0,0.6621447,0.0,0.0,0.0,0.0,0.0,0.24707264,0.0,0.23773597,0.0,0.0,0.7443152,0.0,0.0,0.0,0.27860937,0.0,0.0,0.0,0.0
Nagapattinam,0.0,0.0,0.63114583,0.0,0.0,0.0,0.3411685,0.0,0.54438424,0.23633873,0.0,0.0,0.0,0.6013688,0.3763326,0.6509096,0.0,0.8647269,0.0,0.89949197,0.9626231,0.0,0.43913138,0.4337941,0.6664921,0.0,0.26371515,0.13262375,0.3763326,0.37599158
Namakkal,0.0,0.0,0.76846474,0.0,0.0,0.47064546,0.079087466,0.0,0.0,0.0,0.0,0.0,0.6013688,0.0,0.0,0.6204679,0.4576801,0.66077274,0.0,0.41533977,0.53243554,0.0,0.0,0.6095972,0.0,0.0,0.0,0.33273774,0.0,0.0
Nilgiris,0.0,0.0,0.0,0.0,0.0,0.0,0.6528312,0.0,0.2896389,0.52509993,0.0,0.0,0.3763326,0.0,0.0,0.42219478,0.0,0.0,0.0,0.36623457,0.47523427,0.18137868,0.3926954,0.18144181,0.70882386,0.80068946,0.5200718,0.0,1.0,0.67549753
Perambalur,0.0,0.0,0.79735976,0.0,0.0,0.67105734,0.70469946,0.0,0.0,0.0,0.0,0.0,0.6509096,0.6204679,0.42219478,0.0,0.08820596,0.41027823,0.0,0.31202614,0.63665825,0.3005946,0.0,0.6052871,0.31875584,0.4810549,0.0,0.0,0.42219478,0.13216372
Pudukkottai,0.0,0.0,0.58987516,0.0,0.0,0.5501626,0.0,0.31826818,0.0,0.16105564,0.0,0.24707264,0.0,0.4576801,0.0,0.08820596,0.0,0.05471275,0.31880617,0.0,0.0,0.14434831,0.0,0.80092114,0.0,0.0,0.0,0.2342024,0.0,0.0
Ramanathapuram,0.0,0.0,0.5465964,0.0,0.0,0.0,0.0,0.0,0.53848845,0.0,0.0,0.0,0.8647269,0.66077274,0.0,0.41027823,0.05471275,0.0,0.0,0.84430575,0.82448184,0.0,0.36211932,0.23049058,0.41515985,0.0,0.074900076,0.33862,0.0,0.0
