db_district,shapefile_district
Ariyalur,Ariyalur
Chennai,Chennai
Coimbatore,Coimbatore
Cuddalore,Cuddalore
Dharmapuri,Dharmapuri
Dindigul,Dindigul
Erode,Erode
Kanchipuram,Kanchipuram
Kanyakumari,Kanyakumari
Karur,Karur
Krishnagiri,Krishnagiri
Madurai,Madurai
Nagapattinam,Nagapattinam
Namakkal,Namakkal
Nilgiris,Nilgiris
Perambalur,Perambalur
Pudukkottai,Pudukkottai
Ramanathapuram,Ramanathapuram
Salem,Salem
Sivaganga,Sivaganga
Thanjavur,Thanjavur
Theni,Theni
Thoothukudi,Thoothukudi
Tiruchirappalli,Tiruchirappalli
Tirunelveli,Tirunelveli
Tiruppur,Tiruppur
Tiruvannamalai,Tiruvannamalai
Vellore,Vellore
Villupuram,Villupuram
Virudhunagar,Virudhunagar
